temporada	episodio	titulo	personaje	texto
1	1	El tiempo es el que es	CAPITÁN	"¡Atacasteis antes de tiempo! ¿Por qué lo hicisteis?"
1	1	El tiempo es el que es	ALONSO	"Porque vos lo ordenasteis."
1	1	El tiempo es el que es	CAPITÁN	"¿Tenéis testigos de lo que decís?"
1	1	El tiempo es el que es	ALONSO	"Si los muertos pudieran hablar, los tendría. ¡Mentís!"
1	1	El tiempo es el que es	ALONSO	"Yo nunca miento."
1	1	El tiempo es el que es	CAPITÁN	"¡Prendedle!"
1	1	El tiempo es el que es	ALONSO	"¡¡Todos han muerto por vos!!! ¡¡¡Todos!!!"
1	1	El tiempo es el que es	BLANCA	"¿Por qué le atacaste? ¡Era tu superior!"
1	1	El tiempo es el que es	ALONSO	"¡Como si es San Pedro! A veces, un hombre ha de hacer lo que ha de hacer."
1	1	El tiempo es el que es	BLANCA	"Maldito orgullo… Por él, mañana, tu capitán estará en su cama, y tú en la horca."
1	1	El tiempo es el que es	ALONSO	"Pues en la horca estará un hombre con honor y en la cama un mamarracho. Blanca… no llores… he tenido una buena vida… he visto mundo… he amado… he luchado por mi patria … No tengo quejas. Quiero que hagas una cosa por mí. Sigue tu vida, no mires atrás."
1	1	El tiempo es el que es	BLANCA	"Alonso… Yo… Pero…"
1	1	El tiempo es el que es	CARCELERO	"¡Se acabó el tiempo! ¡Fuera!"
1	1	El tiempo es el que es	ALONSO	"Olvídame, te lo ruego."
1	1	El tiempo es el que es	BLANCA	"No va a ser fácil."
1	1	El tiempo es el que es	ERNESTO	"¿Sois Alonso Entrerríos?"
1	1	El tiempo es el que es	ALONSO	"Perdéis el tiempo, padre. Lo que tenga que hablar con Dios ya se lo diré mañana en persona."
1	1	El tiempo es el que es	ERNESTO	"No vengo a confesaros: vengo a sacaros de aquí… si aceptáis mi oferta. ¿Queréis trabajar para un despacho secreto de la Corona?"
1	1	El tiempo es el que es	ALONSO	"¿Espía?"
1	1	El tiempo es el que es	ERNESTO	"Algo así. Trabajos especiales en sitios extraños. Estaréis muerto para todos. Incluida Blanca, vuestra esposa."
1	1	El tiempo es el que es	ALONSO	"Debéis ser muy poderoso… Con lo que les gustan las ejecuciones a esta gente, me extraña que anulen ésta."
1	1	El tiempo es el que es	ERNESTO	"No la anularán: tendrán su ejecución."
1	1	El tiempo es el que es	ALONSO	"¿Quién es?"
1	1	El tiempo es el que es	ERNESTO	"A todos los efectos, vos."
1	1	El tiempo es el que es	ALONSO	"¿Puedo quedarme a ver el espectáculo?"
