temporada	episodio	titulo	fecha	audiencia	share	resumen
1	1	El tiempo es el que es	24/02/2015	2981000	14.8	Para evitar que los franceses cambien la Historia, tal y como la conocemos, el Ministerio envía en una misión a una patrulla formada por miembros recién reclutados. Son Alonso de Entrerríos, Amelia Folch y Julián Martínez. Pero para Julián, viajar por el tiempo significa algo todavía más importante: poder viajar a apenas un par de años antes, a volver a ver a su esposa, fallecida en accidente de tráfico. Supone recuperar el amor perdido para siempre.
1	2	Tiempo de gloria	02/03/2015	2652000	12.9	Gil Pérez, afamado agente del Ministerio durante el reinado de Felipe II, descubre que Lope de Vega, alistado en la Armada Invencible, no va a embarcar en el barco que la Historia dice que embarcó: el San Juan, una de las pocas naves cuyos marineros lograron salvar la vida. A cambio, embarca en otro navío donde encontrará la muerte segura, antes de escribir sus mejores obras. La patrulla viaja a la Lisboa de 1588 para evitar que esto ocurra.
1	3	Cómo se reescribe el tiempo	09/03/2015	2651000	12.7	1940: Himmler en el Monasterio de Montserrat. El objetivo esencial del Ministerio es evitar que alguien utilice las puertas temporales para cambiar el presente desde el pasado. Pero ese objetivo se convierte en algo esencial cuando quien quiere cambiar la Historia es nada menos que el régimen nazi. Himmler, informado de la existencia de una puerta en el Monasterio de Montserrat, viaja allí para hacer uso de ella aprovechando la cita de Hendaya entre Hitler y Franco. Su objetivo ya no es sólo dominar el mundo, sino reescribir la Historia para su propio beneficio. Amelia, Julián y Alonso deben evitarlo viajando a Montserrat, mientras Ernesto e Irene se presentan en Hendaya, lugar de encuentro entre Hitler y Franco para negociar la participación de España en la II Guerra Mundial. Algo que deben evitar a toda costa.
1	4	Una negociación a tiempo * DR	16/03/2015	2929000	14.0	Abraham Levi, creador del Libro de las Puertas –origen del Ministerio del Tiempo–, regaló su obra en 1491 a Isabel la Católica a cambio de protección ante la Inquisición. Sin embargo, pese a las promesas de la reina –y a espaldas de ésta– muere quemado tras auto de fe. No es una historia muy edificante, pero es la que es... hasta que el abogado de los herederos de Levi descubre documentos que evidencian lo ocurrido y se presenta en el Ministerio exigiendo una fuerte indemnización a cambio de no hacer pública la existencia del Ministerio, un secreto guardado durante siglos. La patrulla deberá viajar a 1491 para salvar de la hoguera al rabino. El problema es que la puerta está en bucle y sólo tienen 24 horas para evitar su muerte. Una y otra vez, como si fuera el día de la marmota, vuelven al mismo día sin que Torquemada ejecute al rabino. La gran sorpresa para ellos será descubrir quién es Torquemada.
1	5	Cualquier tiempo pasado	23/03/2015	2533000	11.5	El Guernica, tras duras negociaciones, vino a España en el año 1981 como símbolo de la vuelta de la democracia. Sin embargo, llegan informes al Ministerio de que las negociaciones están cambiando con respecto a lo que cuenta la Historia, poniendo en peligro la llegada del cuadro a España. Alguien está interfiriendo en las mismas, queriendo reescribir la Historia y que el cuadro de Picasso nunca venga a España. Para impedir que esto ocurra, Amelia, Julián y Alonso deberán encontrar el contrato de venta que firmaron Picasso y el gobierno republicano. Para ello viajarán al año 1981, justo en el momento clave de las negociaciones. Su sorpresa será grande cuando descubran quién está detrás del problema, lo que supondrá un shock para el propio Ministerio.Julián aprovecha el viaje al Madrid de cuando era apenas un niño para reencontrarse con su pasado. Y no es como él se lo imaginaba.
1	6	Tiempo de pícaros	30/03/2015	2113000	10.9	En unas excavaciones arqueológicas realizadas en 2015 en Salamanca con el fin de encontrar restos del siglo XVI, aparecen cuadros de 1520, otros hallazgos de la misma época... y un teléfono móvil. No será la única sorpresa: el móvil pertenece a un empresario de nuestro tiempo que se ha dado a la fuga en 2013 tras descubrirse que su negocio era una gran estafa. La patrulla viaja a la época de la Castilla precomunera para detenerlo y traerlo al presente. Para ello contarán con la ayuda de un joven que dice llamarse Lázaro de Tormes. Y no es una simple coincidencia de nombres: sus vivencias son las narradas en el famoso libro.Durante la misión, el Lazarillo es apresado corriendo riesgo de muerte. El objetivo inicial ahora se complica: no solo deben detener al empresario estafador del siglo XXI que ha viajado al pasado sino también evitar la muerte de Lázaro. Un personaje que todos creían imaginario y ahora descubren que es de carne y hueso y cuya desaparición antes de escribirse el libro podría suponer que uno de los textos esenciales de nuestra literatura nunca vea la luz.
1	7	Tiempo de veganza	06/04/2015	2188000	10.8	En 1843, Isabel II asume la regencia con 14 años y exige conocer el Ministerio del Tiempo, un ministerio victoriano. Lo que es una visita oficial, se convierte en un peligro. Un funcionario rebelde (Leiva) ha huido de la cárcel de la Edad Media para asesinarla y así lograr que se cierre el Ministerio en el siglo XIX. La patrulla viaja 172 años antes para evitar el asesinato... Y la desaparición del Ministerio. Todas las alarmas se encienden y las sospechas de colaboración con el funcionario rebelde recaen sobre Irene, ya que fue reclutada por el propio Leiva en 1960. Mientras, Julián abandona a sus compañeros para volver al pasado y pasar un día con su esposa.
1	8	La leyenda del tiempo	13/04/2015	2245000	10.8	Una tablet aparece en un cartel de una obra de teatro sobre don Juan Tenorio realizada en la residencia de Estudiantes en el año 1924. La patrulla debe viajar allí para recuperarla. Pero al llegar, pronto se darán cuenta de que todo es una trampa urdida por alguien que conoce bien el Ministerio... y la propia vida de Alonso, Julián y Amelia, que reciben fotos de su pasado y de su Ministerio... y la propia vida de Alonso, Julián y Amelia, que reciben fotos de su pasado y de su futuro. Haciéndoles dudar de si merece la pena seguir siendo leales al Ministerio. ¿Merece la pena salvar la vida de insignes protagonistas de nuestra Historia cuando a cambio no pueden salvar la de sus seres queridos? Por otra parte, conocer a Buñuel, Dalí y, sobre Lorca supondrá para Julián un impacto emocional inolvidable.
2	9	Tiempo de leyenda	15/02/2016	2839000	14.6	El Ministerio aún se está reponiendo del impacto sufrido por la traición de Irene Larra. Lola Mendieta está en la cárcel. Julián vuelve tras un tiempo de reposo y tratamiento psicológico tras fracasar en su obsesión de salvar a su esposa Maite, fallecida años atrás. Pero un nuevo caso debe ser resuelto: el hallazgo de unos restos fechados que supuestamente pertenecen a El Cid Campeador.El problema es que ya existen otros restos pertenecientes a tan insigne personaje que reposan en la catedral de Burgos. ¿Acaso hay dos Cid? ¿O uno es verdadero y el otro el falso? Amelia y Alonso se dirigen al siglo XI para descubrirlo. lo hacen acompañados por el Ambrosio de Spínola por orden de Salvador. Algo que supone apartar a Julián de la patrulla y que generará un nuevo conflicto.
2	10	El tiempo en sus manos	22/02/2016	2675000	13.4	Tras la marcha de Julián, Salvador activa los mecanismos de búsqueda para que sea detenido allá donde haya viajado por el tiempo. El impacto en Amelia y Alonso es grande. Mientras tanto, un policía de 1981 llega al presente persiguiendo a un asesino que ha huido escapando por un armario. Se trata de Jesús Méndez, conocido como Pacino por su parecido con el actor de Serpico. Su sorpresa no será solo que se puede viajar por el tiempo.También lo será saber que, según los archivos policiales, el asesino es él y lleva desaparecido desde 1981. Para probar su inocencia deberá atrapar al asesino. Pero, ¿cómo hacerlo en un futuro del que desconoce absolutamente todo?
