Season,Episode,Character,Line
1,1,CAPITÁN,"¡Atacasteis antes de tiempo! ¿Por qué lo hicisteis?"
1,1,ALONSO,"Porque vos lo ordenasteis."
1,1,CAPITÁN,"¿Tenéis testigos de lo que decís?"
1,1,ALONSO,"Si los muertos pudieran hablar, los tendría. ¡Mentís!"
1,1,ALONSO,"Yo nunca miento."
1,1,CAPITÁN,"¡Prendedle!"
1,1,ALONSO,"¡¡Todos han muerto por vos!!! ¡¡¡Todos!!!"
1,1,BLANCA,"¿Por qué le atacaste? ¡Era tu superior!"
1,1,ALONSO,"¡Como si es San Pedro! A veces, un hombre ha de hacer lo que ha de hacer."
1,1,BLANCA,"Maldito orgullo… Por él, mañana, tu capitán estará en su cama, y tú en la horca."
1,1,ALONSO,"Pues en la horca estará un hombre con honor y en la cama un mamarracho. Blanca… no llores… he tenido una buena vida… he visto mundo… he amado… he luchado por mi patria … No tengo quejas. Quiero que hagas una cosa por mí. Sigue tu vida, no mires atrás."
1,1,BLANCA,"Alonso… Yo… Pero…"
1,1,CARCELERO,"¡Se acabó el tiempo! ¡Fuera!"
1,1,ALONSO,"Olvídame, te lo ruego."
1,1,BLANCA,"No va a ser fácil."
1,1,ERNESTO,"¿Sois Alonso Entrerríos?"
1,1,ALONSO,"Perdéis el tiempo, padre. Lo que tenga que hablar con Dios ya se lo diré mañana en persona."
1,1,ERNESTO,"No vengo a confesaros: vengo a sacaros de aquí… si aceptáis mi oferta. ¿Queréis trabajar para un despacho secreto de la Corona?"
1,1,ALONSO,"¿Espía?"
1,1,ERNESTO,"Algo así. Trabajos especiales en sitios extraños. Estaréis muerto para todos. Incluida Blanca, vuestra esposa."
1,1,ALONSO,"Debéis ser muy poderoso… Con lo que les gustan las ejecuciones a esta gente, me extraña que anulen ésta."
1,1,ERNESTO,"No la anularán: tendrán su ejecución."
1,1,ALONSO,"¿Quién es?"
1,1,ERNESTO,"A todos los efectos, vos."
1,1,ALONSO,"¿Puedo quedarme a ver el espectáculo?"
1,1,ERNESTO,"No tenemos tiempo."
1,1,ALONSO,"¿Qué es eso?"
1,1,ERNESTO,"¡Vámonos!"
1,1,PROFESOR,"Dígame, señorita."
1,1,AMELIA,"Perdón, pero la influencia de El Orlando Furioso en Lope de Vega es clara… Sobre todo en el tema de la locura en relación con el amor."
1,1,PROFESOR,"Por lo tanto, niego la influencia de autor alguno sobre Lope de vega, gloria de las letras españolas. porque el primero bebe de fuentes profanas y nuestro Lope en las raíces más profundas de  nuestra fe. Tonterías."
1,1,AMELIA,"Personajes como Rodamonte y el propio Orlando son tomados como modelos para Lope… Se puede ver en obras como…"
1,1,PROFESOR,"¿Me deja continuar con la clase?"
1,1,AMELIA,"Perdón… ¿quién es usted?"
1,1,IRENE,"Alguien que sabe lo mucho que vales. No como todos esos hombres."
1,1,AMELIA,"Gracias, Roser. Puedes retirarte ya. Mi padre tiene un coñac estupendo… Aunque no sabe que de vez en cuando me tomo una copita…"
1,1,PROFESOR 2,"El Siglo de Oro muestra la gloria de nuestra literatura, representada en Calderón, Lope o el grandioso El Quijote de Cervantes.  Una literatura a la altura de lo que era España entonces: la primera potencia mundial…"
1,1,AMELIA,"¡Es tan difícil encontrar una mujer con la que poder hablar de política, arte… de cosas importantes!"
1,1,IRENE,"¿Y de qué hablan tus amigas?"
1,1,AMELIA,"De maridos, hijos y la moda de París. A veces creo que las mujeres somos nuestras peores enemigas. Estoy convencida que en un futuro las mujeres podrán hacer lo mismo que un hombre."
1,1,IRENE,"Brindemos por ello."
1,1,AMELIA,"Si nos oyera mi madre… Está empeñada en buscarme marido… que me case y tenga hijos."
1,1,IRENE,"Y tú no quieres…"
1,1,AMELIA,"Yo no necesito un hombre."
1,1,IRENE,"Pues no sabes la alegría que me das…"
1,1,AMELIA,"Necesitar, no necesito a los hombres… pero el caso es que me gustan."
1,1,IRENE,"En fin… A ver si esto te interesa más…"
1,1,AMELIA,"Eso… ¿qué es?"
1,1,IRENE,"Tu mundo se te queda pequeño, querida; y eso sí lo podemos solucionar. ¿Angustias? Pásame con el jefe, reina…"
1,1,RAMÓN,"La tortilla de patatas es como el IBEX-35 de un bar: si la tortilla está buena, el bar es bueno. Y esta tortilla es infame."
1,1,JULIÁN,"Antes era todo mejor."
1,1,RAMÓN,"¿Por qué te empeñas en venir aquí?"
1,1,VOZ EMISORA,"Incendio en el centro. Es un hostal."
1,1,JULIÁN,"Vamos."
