"palabra"	"sentimiento"	"lexicon"	"valor"
"ábaco"	"confianza"	"nrc"	0
"abad"	"confianza"	"nrc"	0
"abanderamiento"	"negativo"	"nrc"	0
"abandonado"	"ira"	"nrc"	0
"abandonado"	"miedo"	"nrc"	0
"abandonado"	"negativo"	"nrc"	0
"abandonado"	"tristeza"	"nrc"	0
"abandonar"	"miedo"	"nrc"	0
"abandonar"	"negativo"	"nrc"	0
"abandonar"	"tristeza"	"nrc"	0
"abandono"	"asombro"	"nrc"	0
"abandono"	"ira"	"nrc"	0
"abandono"	"miedo"	"nrc"	0
"abandono"	"negativo"	"nrc"	0
"abandono"	"tristeza"	"nrc"	0
"abastecer"	"positivo"	"nrc"	0
"abeja"	"ira"	"nrc"	0
"abeja"	"miedo"	"nrc"	0
"aberración"	"disgusto"	"nrc"	0
"aberración"	"negativo"	"nrc"	0
"aberrante"	"negativo"	"nrc"	0
"abierto"	"miedo"	"nrc"	0
"abismal"	"negativo"	"nrc"	0
"abismal"	"tristeza"	"nrc"	0
"abismo"	"miedo"	"nrc"	0
"abismo"	"negativo"	"nrc"	0
"abismo"	"tristeza"	"nrc"	0
"abogado"	"confianza"	"nrc"	0
"abogado"	"disgusto"	"nrc"	0
"abogado"	"ira"	"nrc"	0
"abogado"	"miedo"	"nrc"	0
"abogado"	"negativo"	"nrc"	0
"abogado"	"positivo"	"nrc"	0
"abolición"	"negativo"	"nrc"	0
"abolir"	"ira"	"nrc"	0
"abolir"	"negativo"	"nrc"	0
"abominable"	"disgusto"	"nrc"	0
"abominable"	"miedo"	"nrc"	0
"abominable"	"negativo"	"nrc"	0
"abominación"	"disgusto"	"nrc"	0
"abominación"	"ira"	"nrc"	0
"abominación"	"miedo"	"nrc"	0
"abominación"	"negativo"	"nrc"	0
"abordar"	"asombro"	"nrc"	0
"abordar"	"ira"	"nrc"	0
"aborrecer"	"disgusto"	"nrc"	0
"aborrecer"	"ira"	"nrc"	0
"aborrecer"	"miedo"	"nrc"	0
"aborrecer"	"negativo"	"nrc"	0
"aborrecible"	"disgusto"	"nrc"	0
"aborrecible"	"ira"	"nrc"	0
"aborrecible"	"miedo"	"nrc"	0
"aborrecible"	"negativo"	"nrc"	0
"aborrecimiento"	"disgusto"	"nrc"	0
"aborrecimiento"	"negativo"	"nrc"	0
"abortar"	"negativo"	"nrc"	0
"abortivo"	"negativo"	"nrc"	0
"abortivo"	"tristeza"	"nrc"	0
"aborto"	"disgusto"	"nrc"	0
"aborto"	"miedo"	"nrc"	0
"aborto"	"negativo"	"nrc"	0
"aborto"	"tristeza"	"nrc"	0
"abrasador"	"ira"	"nrc"	0
"abrasador"	"negativo"	"nrc"	0
"abrasión"	"negativo"	"nrc"	0
"abrazar"	"alegría"	"nrc"	0
"abrazar"	"asombro"	"nrc"	0
"abrazar"	"confianza"	"nrc"	0
"abrazar"	"positivo"	"nrc"	0
"abrazar"	"premonición"	"nrc"	0
"abrazo"	"alegría"	"nrc"	0
"abrazo"	"confianza"	"nrc"	0
"abrazo"	"positivo"	"nrc"	0
"abrigo"	"confianza"	"nrc"	0
"abrigo"	"positivo"	"nrc"	0
"abrogar"	"negativo"	"nrc"	0
"abrumado"	"negativo"	"nrc"	0
"abrumado"	"tristeza"	"nrc"	0
"abrumador"	"ira"	"nrc"	0
"abrumador"	"miedo"	"nrc"	0
"abrumador"	"negativo"	"nrc"	0
"abrumador"	"positivo"	"nrc"	0
"abrumar"	"negativo"	"nrc"	0
"abrupto"	"asombro"	"nrc"	0
"absceso"	"negativo"	"nrc"	0
"absceso"	"tristeza"	"nrc"	0
"absentismo"	"negativo"	"nrc"	0
"absolución"	"alegría"	"nrc"	0
"absolución"	"confianza"	"nrc"	0
"absolución"	"positivo"	"nrc"	0
"absoluto"	"positivo"	"nrc"	0
"absorbido"	"positivo"	"nrc"	0
"absorto"	"alegría"	"nrc"	0
"absorto"	"asombro"	"nrc"	0
"absorto"	"confianza"	"nrc"	0
"absorto"	"positivo"	"nrc"	0
"absurdo"	"disgusto"	"nrc"	0
"absurdo"	"negativo"	"nrc"	0
"absurdo"	"tristeza"	"nrc"	0
"abucheo"	"negativo"	"nrc"	0
"abuela"	"positivo"	"nrc"	0
"abuelo"	"confianza"	"nrc"	0
"abundancia"	"alegría"	"nrc"	0
"abundancia"	"confianza"	"nrc"	0
"abundancia"	"disgusto"	"nrc"	0
"abundancia"	"negativo"	"nrc"	0
"abundancia"	"positivo"	"nrc"	0
