palabra	sentimiento	lexicon	valor
ábaco	confianza	nrc	NA
abad	confianza	nrc	NA
abanderar	negativo	nrc	NA
abandonado	ira	nrc	NA
abandonado	miedo	nrc	NA
abandonado	negativo	nrc	NA
abandonado	tristeza	nrc	NA
abandonar	miedo	nrc	NA
abandonar	negativo	nrc	NA
abandonar	tristeza	nrc	NA
abandono	asombro	nrc	NA
abandono	ira	nrc	NA
abandono	miedo	nrc	NA
abandono	negativo	nrc	NA
abandono	tristeza	nrc	NA
abastecer	positivo	nrc	NA
abeja	ira	nrc	NA
abeja	miedo	nrc	NA
aberración	disgusto	nrc	NA
aberración	negativo	nrc	NA
aberrante	negativo	nrc	NA
abierto	miedo	nrc	NA
abismal	negativo	nrc	NA
abismal	tristeza	nrc	NA
abismo	miedo	nrc	NA
abismo	negativo	nrc	NA
abismo	tristeza	nrc	NA
abogado	confianza	nrc	NA
abogado	disgusto	nrc	NA
abogado	ira	nrc	NA
abogado	miedo	nrc	NA
picapleitos	negativo	nrc	NA
abogado	positivo	nrc	NA
abolición	negativo	nrc	NA
abolir	ira	nrc	NA
abolir	negativo	nrc	NA
abominable	disgusto	nrc	NA
abominable	miedo	nrc	NA
abominable	negativo	nrc	NA
abominación	disgusto	nrc	NA
abominación	ira	nrc	NA
abominación	miedo	nrc	NA
abominación	negativo	nrc	NA
abordar	asombro	nrc	NA
abordar	ira	nrc	NA
aborrecer	disgusto	nrc	NA
aborrecer	ira	nrc	NA
aborrecer	miedo	nrc	NA
aborrecer	negativo	nrc	NA
aborrecible	disgusto	nrc	NA
aborrecible	ira	nrc	NA
aborrecible	miedo	nrc	NA
aborrecible	negativo	nrc	NA
aborrecimiento	disgusto	nrc	NA
aborrecimiento	negativo	nrc	NA
abortar	negativo	nrc	NA
abortivo	negativo	nrc	NA
abortivo	tristeza	nrc	NA
aborto	disgusto	nrc	NA
aborto	miedo	nrc	NA
aborto	negativo	nrc	NA
aborto	tristeza	nrc	NA
abrasador	ira	nrc	NA
abrasador	negativo	nrc	NA
abrasión	negativo	nrc	NA
abrazar	alegría	nrc	NA
abrazar	asombro	nrc	NA
abrazar	confianza	nrc	NA
abrazar	positivo	nrc	NA
abrazar	premonición	nrc	NA
abrazo	alegría	nrc	NA
abrazo	confianza	nrc	NA
abrazo	positivo	nrc	NA
abrigo	confianza	nrc	NA
abrigo	positivo	nrc	NA
abrogar	negativo	nrc	NA
abrumado	negativo	nrc	NA
abrumado	tristeza	nrc	NA
abrumador	ira	nrc	NA
abrumador	miedo	nrc	NA
abrumador	negativo	nrc	NA
abrumador	positivo	nrc	NA
abrumar	negativo	nrc	NA
abrupto	asombro	nrc	NA
absceso	negativo	nrc	NA
absceso	tristeza	nrc	NA
absentismo	negativo	nrc	NA
absolución	alegría	nrc	NA
absolución	confianza	nrc	NA
absolución	positivo	nrc	NA
absoluto	positivo	nrc	NA
absorbido	positivo	nrc	NA
absorto	alegría	nrc	NA
absorto	asombro	nrc	NA
absorto	confianza	nrc	NA
absorto	positivo	nrc	NA
absurdo	disgusto	nrc	NA
absurdo	negativo	nrc	NA
absurdo	tristeza	nrc	NA
abucheo	negativo	nrc	NA
abuela	positivo	nrc	NA
abuelo	confianza	nrc	NA
abundancia	alegría	nrc	NA
abundancia	confianza	nrc	NA
abundancia	disgusto	nrc	NA
abundancia	negativo	nrc	NA
abundancia	positivo	nrc	NA
abundancia	premonición	nrc	NA
abundante	alegría	nrc	NA
abundante	negativo	nrc	NA
abundante	positivo	nrc	NA
abundante	premonición	nrc	NA
aburrido	negativo	nrc	NA
aburrido	tristeza	nrc	NA
aburrimiento	negativo	nrc	NA
aburrimiento	tristeza	nrc	NA
abuso	disgusto	nrc	NA
abuso	ira	nrc	NA
abuso	miedo	nrc	NA
abuso	negativo	nrc	NA
abuso	tristeza	nrc	NA
abusón	ira	nrc	NA
abusón	miedo	nrc	NA
abusón	negativo	nrc	NA
abyecto	disgusto	nrc	NA
abyecto	negativo	nrc	NA
academia	positivo	nrc	NA
académico	confianza	nrc	NA
académico	positivo	nrc	NA
acantilado	miedo	nrc	NA
ácaro	disgusto	nrc	NA
ácaro	negativo	nrc	NA
accesible	positivo	nrc	NA
accesorio	positivo	nrc	NA
accidental	asombro	nrc	NA
accidental	miedo	nrc	NA
accidental	negativo	nrc	NA
accidentalmente	asombro	nrc	NA
accidente	asombro	nrc	NA
accidente	miedo	nrc	NA
accidente	negativo	nrc	NA
accidente	tristeza	nrc	NA
acción	positivo	nrc	NA
acecho	negativo	nrc	NA
acelerador	ira	nrc	NA
acelerador	negativo	nrc	NA
acelerar	premonición	nrc	NA
aceptable	positivo	nrc	NA
aceptación	positivo	nrc	NA
acertijo	asombro	nrc	NA
achispado	negativo	nrc	NA
acidez	negativo	nrc	NA
ácido	negativo	nrc	NA
aclarar	alegría	nrc	NA
aclarar	asombro	nrc	NA
aclarar	confianza	nrc	NA
aclarar	positivo	nrc	NA
acogedor	positivo	nrc	NA
acolchado	positivo	nrc	NA
acompañamiento	alegría	nrc	NA
acompañamiento	confianza	nrc	NA
acompañamiento	positivo	nrc	NA
acompañamiento	premonición	nrc	NA
acomplejado	negativo	nrc	NA
aconsejable	confianza	nrc	NA
aconsejable	positivo	nrc	NA
aconsejado	confianza	nrc	NA
acontecer	negativo	nrc	NA
acordando	confianza	nrc	NA
acordando	positivo	nrc	NA
acordar	alegría	nrc	NA
acordar	asombro	nrc	NA
acordar	confianza	nrc	NA
acordar	positivo	nrc	NA
acordar	premonición	nrc	NA
acorde	positivo	nrc	NA
acoso	disgusto	nrc	NA
acoso	ira	nrc	NA
acoso	miedo	nrc	NA
acoso	negativo	nrc	NA
acoso	tristeza	nrc	NA
acostado	disgusto	nrc	NA
acostado	ira	nrc	NA
acostado	negativo	nrc	NA
acre	disgusto	nrc	NA
acre	negativo	nrc	NA
acreditado	confianza	nrc	NA
acreditado	positivo	nrc	NA
acribillado	negativo	nrc	NA
acróbata	alegría	nrc	NA
acróbata	confianza	nrc	NA
acróbata	miedo	nrc	NA
acróbata	positivo	nrc	NA
acuchillar	ira	nrc	NA
acuerdo	alegría	nrc	NA
acuerdo	asombro	nrc	NA
acuerdo	confianza	nrc	NA
acuerdo	positivo	nrc	NA
acuerdo	premonición	nrc	NA
acuoso	negativo	nrc	NA
acusación	disgusto	nrc	NA
acusación	ira	nrc	NA
acusación	miedo	nrc	NA
acusación	negativo	nrc	NA
acusación	tristeza	nrc	NA
acusado	ira	nrc	NA
acusado	miedo	nrc	NA
acusado	negativo	nrc	NA
acusado	tristeza	nrc	NA
acusador	ira	nrc	NA
acusador	miedo	nrc	NA
acusador	negativo	nrc	NA
acusando	ira	nrc	NA
acusando	miedo	nrc	NA
acusando	negativo	nrc	NA
acusativo	negativo	nrc	NA
adaptable	positivo	nrc	NA
adaptar	positivo	nrc	NA
adecuación	positivo	nrc	NA
adecuado	alegría	nrc	NA
adecuado	confianza	nrc	NA
adecuado	positivo	nrc	NA
adecuado	premonición	nrc	NA
adelante	positivo	nrc	NA
adelanto	positivo	nrc	NA
adepto	positivo	nrc	NA
adhiriéndose	confianza	nrc	NA
adicción	negativo	nrc	NA
adiós	premonición	nrc	NA
adiposo	negativo	nrc	NA
adivinación	premonición	nrc	NA
adivinar	asombro	nrc	NA
adjunto	positivo	nrc	NA
administración	confianza	nrc	NA
administración	positivo	nrc	NA
administrativo	confianza	nrc	NA
admirable	alegría	nrc	NA
admirable	confianza	nrc	NA
admirable	positivo	nrc	NA
admiración	alegría	nrc	NA
admiración	confianza	nrc	NA
admiración	positivo	nrc	NA
admirador	positivo	nrc	NA
admirar	confianza	nrc	NA
admirar	positivo	nrc	NA
admisible	confianza	nrc	NA
admisible	positivo	nrc	NA
admonición	miedo	nrc	NA
admonición	negativo	nrc	NA
adoctrinamiento	ira	nrc	NA
adoctrinamiento	miedo	nrc	NA
adoctrinamiento	negativo	nrc	NA
adolescentes	negativo	nrc	NA
adolescentes	positivo	nrc	NA
adorable	alegría	nrc	NA
adorable	positivo	nrc	NA
adoración	alegría	nrc	NA
adoración	confianza	nrc	NA
adoración	positivo	nrc	NA
adorar	alegría	nrc	NA
adorar	confianza	nrc	NA
adorar	positivo	nrc	NA
adorar	premonición	nrc	NA
adornar	negativo	nrc	NA
adornos	negativo	nrc	NA
adquirir	positivo	nrc	NA
adulterado	negativo	nrc	NA
adulterio	disgusto	nrc	NA
adulterio	negativo	nrc	NA
adulterio	tristeza	nrc	NA
advenimiento	alegría	nrc	NA
advenimiento	confianza	nrc	NA
advenimiento	positivo	nrc	NA
advenimiento	premonición	nrc	NA
adversario	disgusto	nrc	NA
adversario	ira	nrc	NA
adversario	miedo	nrc	NA
adversario	negativo	nrc	NA
adversario	premonición	nrc	NA
adversidad	ira	nrc	NA
adversidad	miedo	nrc	NA
adversidad	negativo	nrc	NA
adversidad	tristeza	nrc	NA
adverso	disgusto	nrc	NA
adverso	ira	nrc	NA
adverso	miedo	nrc	NA
adverso	negativo	nrc	NA
adverso	tristeza	nrc	NA
advertencia	miedo	nrc	NA
advertir	asombro	nrc	NA
advertir	confianza	nrc	NA
advertir	miedo	nrc	NA
advertir	negativo	nrc	NA
advertir	premonición	nrc	NA
aeropuerto	premonición	nrc	NA
afable	positivo	nrc	NA
afán	alegría	nrc	NA
afán	confianza	nrc	NA
afán	positivo	nrc	NA
afán	premonición	nrc	NA
afectado	negativo	nrc	NA
afecto	alegría	nrc	NA
afecto	confianza	nrc	NA
afecto	positivo	nrc	NA
afeminado	negativo	nrc	NA
afición	alegría	nrc	NA
afición	positivo	nrc	NA
afilar	ira	nrc	NA
afilar	premonición	nrc	NA
afín	alegría	nrc	NA
afín	confianza	nrc	NA
afín	positivo	nrc	NA
afín	premonición	nrc	NA
afirmación	positivo	nrc	NA
afirmando	confianza	nrc	NA
afirmando	positivo	nrc	NA
afirmar	confianza	nrc	NA
afirmar	positivo	nrc	NA
afirmativamente	confianza	nrc	NA
afirmativamente	positivo	nrc	NA
afirmativo	positivo	nrc	NA
aflicción	disgusto	nrc	NA
aflicción	miedo	nrc	NA
aflicción	negativo	nrc	NA
aflicción	tristeza	nrc	NA
afligido	negativo	nrc	NA
afligido	tristeza	nrc	NA
afligir	miedo	nrc	NA
afligir	negativo	nrc	NA
afligir	tristeza	nrc	NA
afligirse	miedo	nrc	NA
afligirse	negativo	nrc	NA
afligirse	tristeza	nrc	NA
afluente	positivo	nrc	NA
afluente	premonición	nrc	NA
aforo	confianza	nrc	NA
afortunado	alegría	nrc	NA
afortunado	asombro	nrc	NA
afortunado	positivo	nrc	NA
afrenta	asombro	nrc	NA
afrenta	disgusto	nrc	NA
afrenta	ira	nrc	NA
afrenta	miedo	nrc	NA
afrenta	negativo	nrc	NA
afrenta	tristeza	nrc	NA
agacharse	miedo	nrc	NA
agarrando	negativo	nrc	NA
agarrando	premonición	nrc	NA
agarrar	ira	nrc	NA
agarrar	negativo	nrc	NA
agazapado	miedo	nrc	NA
agazapado	negativo	nrc	NA
ágil	positivo	nrc	NA
agilidad	positivo	nrc	NA
agitación	ira	nrc	NA
agitación	miedo	nrc	NA
agitación	negativo	nrc	NA
agitado	ira	nrc	NA
agitado	negativo	nrc	NA
agonía	ira	nrc	NA
agonía	miedo	nrc	NA
agonía	negativo	nrc	NA
agonía	tristeza	nrc	NA
agonizante	miedo	nrc	NA
agonizante	negativo	nrc	NA
agotado	negativo	nrc	NA
agotado	tristeza	nrc	NA
agotamiento	negativo	nrc	NA
agotamiento	premonición	nrc	NA
agotamiento	tristeza	nrc	NA
agraciado	positivo	nrc	NA
agradable	alegría	nrc	NA
agradable	asombro	nrc	NA
agradable	confianza	nrc	NA
agradable	positivo	nrc	NA
agradable	premonición	nrc	NA
agradecido	alegría	nrc	NA
agradecido	positivo	nrc	NA
agravación	disgusto	nrc	NA
agravación	ira	nrc	NA
agravación	negativo	nrc	NA
agravado	ira	nrc	NA
agravado	negativo	nrc	NA
agravante	ira	nrc	NA
agravante	negativo	nrc	NA
agravante	tristeza	nrc	NA
agravio	disgusto	nrc	NA
agravio	ira	nrc	NA
agravio	negativo	nrc	NA
agravio	tristeza	nrc	NA
agresión	ira	nrc	NA
agresión	miedo	nrc	NA
agresión	negativo	nrc	NA
agresivo	ira	nrc	NA
agresivo	miedo	nrc	NA
agresivo	negativo	nrc	NA
agresor	ira	nrc	NA
agresor	miedo	nrc	NA
agresor	negativo	nrc	NA
agresor	tristeza	nrc	NA
