"palabra"	"valor"
"abandonado"	-2
"abandonar"	-2
"abordo"	1
"aborrecer"	-3
"aborrecible"	-3
"aborrecimiento"	-3
"abrazar"	1
"abrazo"	2
"absorbido"	1
"absorto"	1
"aburrido"	-2
"abuso"	-3
"abusón"	-2
"accidental"	-2
"accidentalmente"	-2
"accidente"	-2
"acecho"	-1
"aceptado"	-1
"aceptar"	1
"acordar"	1
"activo"	1
"acuchillar"	-2
"acuerdo"	1
"acusación"	-2
"acusado"	-2
"acusando"	-2
"adecuado"	1
"admirar"	3
"admitir"	-1
"adoptar"	1
"adorable"	3
"adorar"	3
"advertencia"	-3
"advertir"	-2
"afecto"	3
"afición"	2
"afligido"	-1
"afortunado"	2
"agonizante"	-3
"agotado"	-2
"agradable"	2
"agradecido"	2
"agravado"	-2
"agravante"	-2
"agresión"	-2
"agresivo"	-2
"aguante"	2
"ahogado"	-1
"ahogarse"	-2
"airado"	-3
"aislado"	-1
"alabado"	3
"alabanza"	3
"alarma"	-2
"alegre"	2
"alegría"	3
"alentar"	2
"alerta"	-1
"alicaído"	-2
"alienación"	-2
"aliviando"	2
"amable"	3
"amargamente"	-2
"ambicioso"	2
"amenaza"	-2
"amenazante"	-2
"amenazar"	-2
"amistoso"	2
"amor"	3
"amoroso"	2
"ampliar"	1
"angustia"	-2
"angustiado"	-2
"angustioso"	-2
"anhelo"	-1
"animosidad"	-2
"ansiedad"	-2
"ansioso"	-2
"antagónico"	-2
"anticipación"	1
"apaciguar"	2
"aparejo"	-1
"apasionado"	2
"apatía"	-3
"apático"	-3
"aplastado"	-2
"aplastante"	-1
"aplastar"	-1
"aplausos"	2
"aplazar"	-1
"apocalíptico"	-2
"apoyado"	2
"apoyo"	1
"apreciación"	2
"apreciar"	2
"aprensivo"	-2
"aprobación"	2
"aptitud"	1
"ardiente"	1
"arrastrar"	-1
"arrepentido"	-2
"arrestar"	-2
"arrogante"	-2
"arruinado"	-2
"asco"	-3
"asegurar"	1
"asesinato"	-2
"asesino"	-2
"asombrar"	2
"asqueroso"	-3
"asustado"	-2
"atacar"	-1
"ataque"	-1
"aterrorizar"	-3
"atracción"	2
"atractivo"	1
"atrevido"	2
"atropello"	-3
"aturdido"	-2
"audaz"	2
"aumentado"	1
"aumentar"	1
"ausente"	-1
"autor"	-2
"autoridad"	1
"avanzado"	1
"aventuras"	2
"aventurero"	2
"avergonzado"	-2
"avergonzar"	-2
"aversión"	-2
"ávido"	2
"barras"	-2
"barrera"	-2
"bastardo"	-5
"batalla"	-1
"bella"	1
"bendecir"	2
"bendición"	3
"beneficio"	2
"beso"	2
"bienes"	2
"bienvenida"	2
"bizarro"	2
"bloque"	-1
"boicot"	-2
"boicotear"	-2
"bomba"	-1
"bondad"	3
"bonito"	2
"brillante"	4
"brillo"	1
"broma"	2
"bruto"	-2
"bueno"	3
"burlón"	-2
"burro"	-4
"cadáver"	-1
"calambre"	-1
"calamitoso"	-3
"calma"	2
"calmante"	3
"calmar"	3
"cancelar"	-1
"cáncer"	-1
"cansado"	-2
"caos"	-2
"caótico"	-2
"capacidad"	2
"capaz"	1
"caprichoso"	1
"carga"	-2
"castigado"	-2
"castigar"	-2
"catástrofe"	-3
"cauteloso"	-1
"celebrando"	3
"célebre"	3
"celestial"	4
"celoso"	-2
"censor"	-2
"ceñudo"	-1
"chispa"	1
"chiste"	2
"chocar"	-1
"choque"	-2
"chupar"	-3
"ciego"	-1
"cínico"	-2
"claridad"	2
"clase"	2
"cobarde"	-2
"codicia"	-3
"codicioso"	-2
"colapso"	-2
"colisión"	-2
"combate"	-1
"comedia"	1
"cometer"	1
"comodidad"	2
"compasivo"	2
"competente"	2
"competitivo"	2
"complaciente"	-2
"comprensivo"	2
"comprometido"	1
"conceder"	1
"concedido"	1
"condenación"	-2
"condenado"	-2
"condenar"	-2
"confianza"	1
"conflicto"	-2
"confundir"	-2
"consentimiento"	2
"conspiración"	-3
"constreñido"	-2
"contagio"	-2
"contagioso"	-1
"contaminar"	-2
"contencioso"	-2
"contendiendo"	-1
"contento"	3
"contradictorio"	-2
"contratar"	1
"convencer"	1
"convencido"	-1
"convenido"	1
"coraje"	2
"cordial"	3
"cortar"	-1
"corte"	-1
"cortejar"	3
"cortés"	2
"cortesía"	2
"costoso"	-2
"creados"	1
"creativo"	2
"crecimiento"	2
"crédulo"	-2
"crimen"	-3
"criminal"	-3
"crisis"	-3
"crítica"	-2
"criticar"	-2
"crítico"	-2
"cruel"	-3
"crueldad"	-3
"cucharada"	3
"cuestionable"	-2
"cuidado"	2
"cuidadosamente"	2
"cuidadoso"	2
"culo"	-4
"culpa"	-2
"culpable"	-3
"culpar"	-2
"cumplir"	2
"cuota"	1
"daño"	-2
"débil"	-2
"debilidad"	-2
"decepción"	-2
"decepcionado"	-2
"decepcionante"	-2
"decepcionar"	-2
"decisivo"	1
"defecto"	-2
"defensor"	2
"déficit"	-2
"degradar"	-2
"dejar"	-1
"deleite"	3
"delincuente"	-2
"delito"	-3
"demanda"	-1
"demente"	-2
"demostración"	-1
"denunciar"	-2
"deprimente"	-2
"deprimido"	-2
"derecho"	1
"derrotado"	-2
"desafiante"	-1
"desafío"	-1
"desahucio"	-1
"desalentado"	-2
"desalojo"	-1
"desaparecer"	-1
"desaprovechado"	-2
"desastre"	-2
"desastroso"	-3
"desatendido"	-2
"descalificado"	-2
"descartado"	-1
"descartes"	-1
"desconfianza"	-3
"desconsiderado"	-2
"desconsolado"	-2
"descorazonado"	-2
"descreer"	-2
"descuento"	-1
"descuidado"	-2
"descuido"	-2
"desdén"	-2
"desdeñoso"	-2
"deseable"	2
"deseoso"	2
"desesperación"	-2
"desesperado"	-3
"desgarrado"	-2
"deshonesto"	-2
"deshonrado"	-2
"desigual"	-1
"desinformado"	-2
"desmoralizado"	-2
"desorganización"	-2
"desorganizado"	-2
"despectivo"	-2
"despotricar"	-3
"desprecio"	-2
"despreocupado"	-2
"desterrar"	-1
"destrozado"	-2
"destrucción"	-3
"destructivo"	-3
"destruido"	-3
"destruyendo"	-3
"desventaja"	-2
"detención"	-2
"detener"	-2
"determinado"	2
"deuda"	-2
"devastador"	-2
"devastar"	-2
"diamante"	1
"dichoso"	3
"difamatorio"	-2
"difícil"	-1
"difiriendo"	-1
"digno"	2
"dilema"	-1
"dimitir"	-1
"dios"	1
"discordia"	-2
"disculpa"	-1
"disculparse"	-1
"disfrazado"	-1
"disfrazar"	-1
"disfrutando"	2
"disfrutar"	2
"disgustado"	-2
"disgusto"	-2
"disparar"	-1
"disparate"	-2
"disparo"	-2
"disposición"	2
"disputa"	-2
"distorsionado"	-2
"distracción"	-2
"distraer"	-2
"distraído"	-2
"diversión"	3
"divertido"	3
"divertir"	3
"dolor"	-2
"dolorido"	-2
"ducha"	-3
"duda"	-1
"dudando"	-1
"dudoso"	-1
"dulce"	2
"eficaz"	2
"egoísmo"	-3
"egoísta"	-3
"elegante"	2
"elogiar"	2
"embarazoso"	-2
"embellecer"	3
"embrujado"	-2
"emergencia"	-2
"emoción"	3
"emocionado"	3
"emocionante"	3
"empeoramiento"	-3
"empequeñecer"	-2
"empollando"	-2
"emprendedor"	1
"encantado"	2
"Encantado"	3
"encantador"	3
"encanto"	3
"encarcelado"	-2
"endoso"	2
"enemigo"	-2
"energético"	2
"enérgico"	2
"enfermedad"	-2
"enfermo"	-2
"engañado"	-3
"engañar"	-2
"engaño"	-2
"engañoso"	-3
"enjuiciamiento"	-1
"enjuiciar"	-1
"enojado"	-3
"enorme"	1
"ensordecedor"	-1
"entretenido"	2
"entumecido"	-1
"envenenado"	-2
"envenenar"	-2
"envidioso"	-2
"equivocado"	-2
"erróneo"	-2
"error"	-2
"erupción"	-2
"escándalo"	-3
"escandaloso"	-3
"escape"	-1
"escarnio"	-2
"escasez"	-2
"escepticismo"	-2
"escéptico"	-2
"esclavitud"	-3
"esclavizado"	-2
"esclavizar"	-2
"espantado"	-2
"espantoso"	-2
"especulativo"	-2
"esperanza"	2
"esperanzado"	2
"esperanzas"	2
"esperar"	-1
"espinoso"	-2
"espíritu"	1
"espléndido"	3
"esquivando"	-2
"estable"	2
"estereotipo"	-2
"esteriotipado"	-2
"estímulo"	1
"estragos"	-2
"estrangulación"	-2
"estridente"	-2
"estupendo"	4
"estúpido"	-2
"ético"	2
"evitar"	-1
"exagerado"	-2
"exagerar"	-2
"exaltado"	3
"excelencia"	3
"excelente"	3
"excepcional"	5
"excitar"	3
"excluidos"	-2
"exclusión"	-1
"excusa"	-1
"exento"	-1
"exigente"	-1
"éxito"	2
"exitoso"	3
"expandir"	1
"explotar"	-2
"exponer"	-1
"expuesto"	-1
"expulsar"	-2
"extático"	4
"extraño"	-2
"fácil"	1
"facilidad"	2
"falsificado"	-3
"falsificar"	-3
"falso"	-3
"falta"	-2
"fama"	1
"famélico"	-2
"fanático"	-2
"fantasma"	-1
"farsa"	-1
"fascinante"	3
"fastidio"	-2
"fatalidad"	-3
"fatiga"	-2
