"palabra"	"valor"
"abanderar"	-1
"abandonado"	-1
"abandonar"	-1
"abiertamente"	1
"abigarrado"	-1
"abismal"	-1
"abismo"	-1
"abolir"	-1
"abolladura"	-1
"abominable"	-1
"abominación"	-1
"aborrecer"	-1
"aborrecimiento"	-1
"abortar"	-1
"abrasador"	-1
"abrazo"	1
"abrumado"	-1
"abrumador"	-1
"abrumar"	-1
"abruptamente"	-1
"abrupto"	-1
"absolutamente"	-1
"absorbente"	1
"absorto"	1
"absurdo"	-1
"abundancia"	1
"abundante"	-1
"abundar"	1
"aburrido"	-1
"aburrimiento"	-1
"abuso"	-1
"abusón"	-1
"accesible"	1
"accidental"	-1
"acecho"	-1
"acelerador"	-1
"aclarar"	1
"acosar"	-1
"acoso"	-1
"acostado"	-1
"acreditado"	1
"acumulación"	-1
"acusación"	-1
"acusando"	-1
"adaptable"	1
"adecuado"	1
"adelantar"	1
"admirable"	1
"admiración"	1
"admirador"	1
"admirar"	1
"admonición"	-1
"adoctrinamiento"	-1
"adorable"	1
"adorar"	1
"adulterado"	-1
"adversario"	-1
"adversidad"	-1
"adverso"	-1
"advertencia"	-1
"afable"	1
"afán"	1
"afectado"	1
"afecto"	1
"afición"	1
"afinidad"	1
"afirmación"	1
"afirmar"	1
"afirmativo"	1
"aflicción"	-1
"afligido"	-1
"afligir"	-1
"afligirse"	-1
"afluente"	1
"afortunado"	1
"afrenta"	-1
"ágil"	1
"agilidad"	1
"agonía"	-1
"agonizante"	-1
"agotado"	-1
"agotador"	-1
"agotamiento"	-1
"agraciado"	1
"agradable"	1
"agradecido"	1
"agravación"	-1
"agravante"	-1
"agravio"	-1
"agresión"	-1
"agresivo"	-1
"agresor"	-1
"agrietado"	-1
"agrio"	-1
"agudísimo"	-1
"agujereado"	-1
"ahogar"	-1
"ahorrativo"	1
"ahorro"	1
"ahorros"	1
"airado"	-1
"aislado"	-1
"aislamiento"	-1
"aislar"	-1
"alabanza"	1
"alarma"	-1
"alarmante"	-1
"alboroto"	-1
"aleatorización"	-1
"alegación"	-1
"alegar"	-1
"alegre"	1
"alegría"	1
"alentar"	1
"algarabía"	-1
"alicaído"	-1
"alienación"	-1
"alienado"	-1
"alimentar"	1
"alimento"	1
"alivio"	1
"altercado"	-1
"altivo"	-1
"altruista"	1
"alucinación"	-1
"amabilidad"	1
"amable"	1
"amanecer"	1
"amante"	1
"amargamente"	-1
"amargura"	-1
"ambicioso"	1
"ambigüedad"	-1
"ambiguo"	-1
"amenaza"	-1
"amenazador"	-1
"amenazante"	-1
"amenazar"	-1
"amenidad"	1
"amistoso"	1
"amor"	1
"amoroso"	1
"ampliamente"	1
"ampolla"	-1
"analfabeto"	-1
"anarquía"	-1
"anarquismo"	-1
"anarquista"	-1
"ángel"	1
"angelical"	1
"angustia"	-1
"angustiado"	-1
"angustioso"	-1
"anhelo"	-1
"animosidad"	-1
"aniquilación"	-1
"aniquilar"	-1
"anomalía"	-1
"anómalo"	-1
"anormal"	-1
"ansiedad"	-1
"ansioso"	-1
"antagónico"	-1
"antagonismo"	-1
"antagonista"	-1
"anticuado"	-1
"antinatural"	-1
"antipatía"	-1
"antipático"	-1
"antitético"	-1
"anudado"	-1
"anular"	-1
"apalancamiento"	1
"apasionado"	1
"apatía"	-1
"apático"	-1
"apelación"	1
"apenas"	-1
"aplastado"	-1
"aplastante"	-1
"aplastar"	-1
"aplazar"	-1
"apocalíptico"	-1
"apologista"	-1
"apoyado"	1
"apoyo"	1
"apreciable"	1
"apreciar"	1
"aprensión"	-1
"aprensivo"	-1
"apresurado"	-1
"aprobación"	1
"aprobar"	1
"apropiado"	1
"apuesto"	1
"arcaico"	-1
"ardiente"	1
"ardor"	-1
"arduo"	-1
"arenoso"	-1
"armonía"	1
"armoniosamente"	1
"armonizar"	1
"arrastrar"	-1
"arrastrarse"	-1
"arrebatar"	-1
"arrepentido"	-1
"arriesgado"	-1
"arrogancia"	-1
"arrogante"	-1
"arrojar"	-1
"arruga"	-1
"arrugado"	-1
"arruinado"	-1
"articular"	1
"artificial"	-1
"asalto"	-1
"asco"	-1
"asediar"	-1
"asedio"	-1
"asegurar"	1
"asequible"	1
"asesinar"	-1
"asesinato"	-1
"asesino"	-1
"aseverar"	1
"asombrar"	1
"asombro"	1
"asombrosamente"	1
"áspero"	-1
"aspiración"	1
"aspirar"	1
"asqueroso"	-1
"astuto"	-1
"asustar"	-1
"atacar"	-1
"ataque"	-1
"atento"	1
"aterrorizar"	-1
"atestiguar"	1
"atracción"	1
"atractivo"	1
"atrasado"	-1
"atrevido"	-1
"atrocidad"	-1
"atrofia"	-1
"atropello"	-1
"atroz"	-1
"aturdida"	-1
"aturdido"	1
"aturdimiento"	-1
"audacia"	-1
"audaz"	-1
"audible"	1
"ausencia"	-1
"ausente"	-1
"austero"	-1
"auténtico"	1
"autocrático"	-1
"autoritario"	1
"autorizar"	1
"avalancha"	-1
"avanzado"	1
"avaricia"	-1
"aventurero"	1
"avergonzado"	-1
"avergonzar"	-1
"avería"	-1
"aversión"	-1
"ávido"	1
"avivar"	1
"ay"	-1
"azotar"	-1
"azote"	-1
"azufre"	-1
"babosa"	-1
"bajista"	-1
"balbuceo"	-1
"barato"	-1
"bárbaro"	-1
"bastante"	1
"bastardo"	-1
"basura"	-1
"belicoso"	-1
"beligerante"	-1
"bella"	1
"belleza"	1
"bendecir"	1
"bendición"	1
"benefactor"	1
"beneficiario"	1
"beneficio"	1
"beneficioso"	1
"benevolencia"	1
"bestial"	-1
"blasfemia"	-1
"blasfemo"	-1
"bofetada"	-1
"boicot"	-1
"boicotear"	-1
"bomba"	-1
"bombardear"	-1
"bombardeo"	-1
"bombo"	-1
"bondad"	1
"bonito"	1
"borracho"	-1
"borrar"	-1
"borrón"	-1
"borroso"	-1
"bostezo"	-1
"botín"	-1
"bravata"	-1
"bribón"	-1
"brillante"	1
"brillar"	1
"brillo"	-1
"brisa"	1
"broma"	-1
"brote"	-1
"brumoso"	-1
"brusco"	-1
"brutal"	-1
"brutalidad"	-1
"bruto"	-1
"bueno"	1
"bullicioso"	-1
"burla"	-1
"burlarse"	-1
"burlón"	-1
"busto"	-1
"caballería"	1
"cables"	1
"caducado"	-1
"caducar"	-1
"caer"	-1
"caída"	-1
"calambre"	-1
"calamidad"	-1
"calamitoso"	-1
"calesa"	-1
"caliente"	1
"calificado"	1
"calificar"	1
"calloso"	-1
"calma"	-1
"calmar"	1
"calumnia"	-1
"calumnioso"	-1
"camarilla"	-1
"campeón"	1
"canalla"	-1
"canalón"	-1
"cáncer"	-1
"caníbal"	-1
"cansado"	-1
"cansancio"	-1
"caos"	-1
"caótico"	-1
"capacidad"	1
"capaz"	1
"caprichoso"	-1
"carente"	-1
"carga"	-1
"caricatura"	-1
"caritativo"	1
"carnicería"	-1
"carnicero"	-1
"caro"	-1
"carril"	-1
"castigar"	-1
"castigo"	-1
"catástrofe"	-1
"cauteloso"	-1
"cautivador"	1
"cautivar"	1
"cazuela"	-1
"cebo"	-1
"celebración"	1
"célebre"	1
"celestial"	1
"celo"	1
"celos"	-1
"celoso"	-1
"cenit"	1
"censura"	-1
"ceño"	-1
"cercar"	-1
"cerco"	-1
"cerda"	-1
"cerdo"	-1
"chantaje"	-1
"charla"	-1
"chichón"	-1
"chillido"	-1
"chirrido"	-1
"chismes"	-1
"chiste"	-1
"choque"	-1
"chorro"	1
"chupar"	-1
"cicatriz"	-1
"ciego"	-1
"ciertamente"	1
"citación"	-1
"civilidad"	1
"clamor"	-1
"claridad"	1
"clásico"	1
"coactivo"	-1
"cobarde"	-1
"cobertura"	-1
"codicia"	-1
"codicioso"	-1
"coerción"	-1
"coherencia"	1
"coherente"	1
"cohesivo"	1
"cojear"	-1
"colapso"	-1
"colusión"	-1
"combativo"	-1
"cómico"	-1
"comodidad"	1
"comodín"	-1
"compacto"	1
"compasión"	1
"compasivo"	1
"compatible"	1
"competente"	1
"competitivo"	1
"complacer"	-1
"complaciente"	-1
"complejo"	-1
"complementario"	1
"complemento"	1
"complicación"	-1
"complicado"	-1
"comprensión"	1
"comprensivo"	1
"compulsión"	-1
"concesión"	-1
"concienzudo"	1
"conciliar"	1
"conciso"	1
"condenación"	-1
"condenado"	-1
"condenar"	-1
"condescendencia"	-1
"condescendiente"	-1
"conducir"	1
"confesar"	-1
"confesión"	-1
"confesiones"	-1
"confianza"	1
"confiar"	1
"confinado"	-1
"conflicto"	-1
"confrontar"	-1
"confundido"	-1
"confundir"	-1
"confusión"	-1
"confuso"	-1
"congelación"	-1
"congelado"	-1
"congelar"	-1
"congestión"	-1
"congratulatorio"	1
"conmoción"	-1
"conmovedor"	1
"conservador"	-1
"consideración"	1
"considerado"	1
"consistente"	1
"conspicuo"	-1
"conspiración"	-1
"conspirador"	-1
"conspirar"	-1
"consternación"	-1
"consuelo"	1
"consumado"	1
"contagioso"	-1
"contaminación"	-1
"contaminado"	-1
"contaminar"	-1
"contención"	-1
"contencioso"	-1
"contento"	1
"continuidad"	1
"contradecir"	-1
"contradicción"	-1
"contradictorio"	-1
"contrario"	-1
"controversia"	-1
"contusión"	-1
"conveniencia"	1
"conveniente"	1
"convincente"	1
"convulsión"	-1
"cooperativa"	1
"coquetear"	-1
"coraje"	1
"cordial"	1
"cordialmente"	1
"correctamente"	1
"corrosión"	-1
"corrosivo"	-1
"corrupción"	-1
"corrupto"	-1
"corruptora"	-1
"cortar"	-1
"cortejar"	1
"cortés"	1
"cortesía"	1
"cosquillas"	1
"costoso"	-1
"cotilleo"	-1
"cotilleos"	-1
"creativo"	1
"crédito"	1
"crédulo"	-1
"creíble"	1
"cría"	-1
"crimen"	-1
"criminal"	-1
"crisis"	-1
"crítica"	-1
"criticar"	-1
"crítico"	-1
"crónico"	-1
"crudo"	-1
"cruel"	-1
"crueldad"	-1
"crujiente"	-1
"cuchillo"	-1
"cuerdo"	1
"cuestionable"	-1
"cueva"	-1
"culo"	-1
"culpa"	-1
"culpable"	-1
"culpar"	-1
"cumplido"	1
"cumplimiento"	1
"cuña"	-1
"curandero"	-1
"curtido"	-1
"dados"	-1
"daño"	-1
"debacle"	-1
"débil"	-1
"debilidad"	-1
"decaimiento"	-1
"decencia"	1
"decente"	1
"decepción"	-1
"decepcionado"	-1
"decepcionante"	-1
"decepcionar"	-1
"decisivo"	1
"declinante"	-1
"decremento"	-1
