"palabra"	"valor"
"abandonar"	-1
"abandono"	-0.25
"abandonos"	-0.25
"abaratar"	-0.8
"abastecer"	-0.1
"abatimiento"	-1
"abatir"	-1
"aberración"	-0.8
"aberrante"	-0.6
"abiertamente"	0.6
"abigarrar"	-0.4
"abismal"	-0.5
"abismalmente"	-1
"abismo"	-0.75
"abjurar"	-0.25
"ablandar"	0.6
"abochornar"	-0.4
"abogacía"	0.6
"abogado"	0.1
"abolengo"	0.6
"abolir"	-0.5
"abolladura"	-0.6
"abollar"	-0.5
"abombar"	-0.25
"abominable"	-0.5
"abominablemente"	-1
"abominación"	-0.5
"abominar"	-1
"abordar"	-0.8
"aborrecer"	-0.5
"aborrecible"	-0.5
"abortar"	-0.5
"abortivo"	-1
"aborto"	-0.8
"abrasador"	-0.5
"abrasadoramente"	-0.8
"abrasar"	-0.4
"abrasión"	-0.6
"abrasivo"	-0.5
"abrazo"	0.75
"abrigo"	0.4
"abrochar"	-0.25
"abrogar"	-0.4
"abroncar"	-0.5
"abrumador"	-0.8
"abrumadoramente"	-0.25
"abrumar"	-0.8
"abruptamente"	-0.25
"abrupto"	-0.25
"absceso"	-0.5
"absentismo"	-1
"absolución"	0.1
"absolutamente"	-0.4
"absoluto"	-0.25
"absolver"	1
"absorbido"	0.5
"absorto"	0.6
"abstinencia"	-0.25
"abstracción"	-0.25
"abstractamente"	-0.25
"absurdamente"	-0.8
"absurdez"	-0.25
"absurdo"	-0.75
"abuelo"	0.6
"abultar"	-0.4
"abundancia"	0.6
"abundante"	0.5
"abundar"	0.25
"aburrido"	-0.75
"aburrimiento"	-0.5
"aburrir"	-0.75
"abusar"	-0.5
"abusivo"	-0.5
"abuso"	-1
"abusón"	-1
"abyecto"	-1
"academia"	0.4
"académico"	0.4
"acaparador"	-0.6
"acaparamiento"	-0.6
"acaparar"	-0.6
"acariciar"	0.4
"ácaro"	-0.25
"acaudalado"	0.1
"accesible"	0.8
"accidental"	-1
"accidentalmente"	-0.6
"accidente"	-0.5
"acción"	0.25
"acechar"	-0.75
"acecho"	-0.8
"aceitado"	-0.25
"acelerador"	-0.5
"acelerar"	0.25
"acentuar"	0.25
"aceptable"	0.5
"aceptación"	0.8
"aceptar"	1
"achispado"	-0.25
"acidez"	-0.8
"ácido"	-0.4
"aclamación"	0.6
"aclamar"	0.6
"aclamar"	-0.6
"aclarar"	0.8
"acobardar"	-1
"acogedor"	1
"acojonado"	-1
"acojonar"	-1
"acólito"	-0.5
"acompañamiento"	0.6
"acompañar"	0.4
"aconsejable"	1
"aconsejar"	1
"acosador"	-1
"acosar"	-0.8
"acoso"	-1
"acostar"	-0.1
"acostumbrar"	-0.25
"ácrata"	-0.5
"acre"	-0.5
"acreditado"	0.5
"acremente"	-1
"acribillar"	-0.75
"acritud"	-1
"activo"	0.5
"actor"	0.4
"actuación"	0.4
"actualizado"	0.8
"acuchillar"	-0.5
"acuerdo"	1
"acuerdo"	0.5
"acumular"	-0.25
"acunar"	0.8
"acuoso"	-0.25
"acurrucar"	0.8
"acusación"	-1
"acusador"	-1
"acusar"	-0.5
"acusativo"	-1
"acusatoriamente"	-1
"adaptable"	0.5
"adaptado"	0.8
"adaptar"	0.8
"adecuación"	0.8
"adecuar"	0.5
"adelantamiento"	-0.8
"adelantar"	0.25
"adelante"	0.8
"adelanto"	1
"adepto"	1
"adherirse"	0.4
"adicción"	-1
"adicional"	0.25
"adictivo"	-0.8
"adicto"	-1
"adivinar"	1
"adjunto"	-0.25
"administración"	0.4
"admirable"	0.5
"admirablemente"	1
"admiración"	1
"admirador"	0.5
"admirar"	1
"admirativo"	0.75
"admisible"	0.8
"admitir"	0.6
"admonitorio"	-0.6
"adoctrinamiento"	-0.5
"adoctrinar"	-0.5
"adolescente"	0.25
"adopción"	0.4
"adoptar"	0.5
"adorable"	0.75
"adorablemente"	1
"adoración"	1
"adorador"	1
"adorar"	0.75
"adormecerse"	-0.25
"adornar"	0.4
"adquirir"	0.8
"adquisición"	0.25
"adquisidor"	0.8
"adrenalina"	-0.25
"adulación"	0.25
"adulador"	0.25
"adular"	0.1
"adulteración"	-1
"adulterar"	-1
"adulterio"	-1
"adversario"	-0.75
"adversidad"	-0.5
"adverso"	-0.5
"advertencia"	-0.5
"advertir"	-0.75
"adviento"	0.8
"aerodinámico"	0.6
"afabilidad"	0.8
"afable"	0.5
"afablemente"	0.8
"afán"	0.75
"afanoso"	0.75
"afección"	-1
"afectación"	-0.4
"afectar"	-1
"afecto"	1
"afectuosamente"	0.5
"afeminado"	-0.4
"aficionado"	0.8
"afinidad"	0.8
"afirmación"	0.5
"afirmar"	0.5
"afirmativamente"	0.8
"afirmativo"	0.5
"aflicción"	-0.75
"afligir"	-0.5
"afligirse"	-0.75
"afluencia"	0.5
"afortunado"	1
"afrenta"	-0.75
"afrentar"	-1
"agarrar"	-0.25
"agarre"	-0.25
"agasajar"	0.6
"ágil"	0.75
"agilidad"	0.75
"ágilmente"	0.8
"agitación"	-1
"agitar"	-0.8
"agitarse"	-0.8
"aglomeración"	-0.4
"agobiar"	-1
"agonía"	-0.5
"agonizante"	-1
"agonizantemente"	-1
"agonizar"	-1
"agotado"	-0.8
"agotador"	-1
"agotamiento"	-0.5
"agotar"	-0.8
"agraciado"	0.75
"agraciar"	0.75
"agradabilidad"	1
"agradable"	1
"agradablemente"	1
"agradecer"	1
"agradecimiento"	1
"agravación"	-0.5
"agravante"	-0.75
"agravar"	-1
"agraviante"	-0.6
"agravio"	-0.25
"agredir"	-1
"agresión"	-0.75
"agresivamente"	-1
"agresividad"	-1
"agresivo"	-1
"agresor"	-1
"agridulce"	-0.25
"agrietado"	-0.5
"agrietamiento"	-0.4
"agrietar"	-0.5
"agrio"	-0.5
"aguafiestas"	-1
"aguanieve"	-0.6
"aguante"	0.75
"agudeza"	0.8
"agudo"	-0.25
"aguerrido"	0.8
"aguijón"	-0.6
"aguijonear"	-0.6
"agujerear"	-0.75
"ahogar"	-0.5
"ahogo"	-0.75
