"palabra"	"valor"
"ábaco"	1
"abad"	1
"abadesa"	1
"abalanzar"	-1
"abanderamiento"	-1
"abanderar"	1
"abandonado"	-1
"abandonar"	-1
"abandono"	-1
"abarrotado"	1
"abasia"	-1
"abásico"	-1
"abastecedor"	1
"abastecer"	-1
"abatible"	1
"abatida"	1
"abatido"	-1
"abatimiento"	-1
"abatir"	-1
"abatis"	1
"abdicable"	1
"abducir"	-1
"abeja"	-1
"abejarrón"	1
"abejón"	1
"abenuz"	-1
"aberración"	-1
"aberrante"	-1
"abierta"	-1
"abiertamente"	1
"abierto"	-1
"abigarrado"	-1
"abilidad"	1
"abismal"	-1
"abismo"	-1
"ablandabrevas"	-1
"ablandado"	1
"ablandante"	1
"abochornado"	-1
"abochornar"	-1
"abogado"	-1
"abogaducho"	-1
"abolición"	-1
"abolir"	-1
"abolladura"	-1
"abombar"	-1
"abominable"	-1
"abominación"	-1
"abominador"	-1
"abominar"	-1
"abonado"	1
"abonamiento"	1
"abordabilidad"	-1
"abordable"	1
"abordaje"	-1
"abordar"	-1
"abordo"	1
"aborrecedor"	-1
"aborrecer"	-1
"aborrecible"	-1
"aborrecimiento"	-1
"abortar"	-1
"abortivo"	-1
"aborto"	-1
"abotonar"	1
"abracadabra"	1
"abrasador"	-1
"abrasión"	-1
"abrasividad"	-1
"abrazar"	1
"abrazo"	1
"abrevadero"	1
"abrigadero"	-1
"abrigo"	1
"abrochado"	-1
"abrogar"	-1
"abroncar"	-1
"abrumado"	-1
"abrumador"	-1
"abrumar"	-1
"abruptamente"	-1
"abrupto"	-1
"absceso"	-1
"absentismo"	-1
"absentista"	-1
"absolución"	1
"absolutamente"	-1
"absolutista"	-1
"absoluto"	-1
"absolvedor"	1
"absolver"	-1
"absorbente"	1
"absorbible"	1
"absorbido"	1
"absorto"	1
"abstemio"	1
"abstenerse"	-1
"abstinencia"	-1
"abstracción"	-1
"absuelto"	1
"absurdo"	-1
"abuchear"	-1
"abucheo"	-1
"abuela"	1
"abuelo"	1
"abúlico"	-1
"abultar"	-1
"abundancia"	-1
"abundante"	-1
"abundar"	1
"abundoso"	1
"aburrido"	-1
"aburrimiento"	-1
"aburrir"	-1
"aburrirse"	1
"abusado"	-1
"abusador"	-1
"abusar"	-1
"abusión"	-1
"abuso"	-1
"abusón"	-1
"abyección"	-1
"abyecto"	-1
"academia"	1
"académico"	1
"acallamiento"	1
"acalorado"	1
"acalorar"	-1
"acalorarse"	-1
"acantilado"	-1
"acantión"	1
"acantonar"	1
"acaparador"	1
"ácaro"	-1
"acatar"	1
"acatexia"	-1
"acaudalado"	1
"acaudalar"	1
"acaudillar"	-1
"acceleración"	1
"accesibilidad"	1
"accesible"	1
"accesional"	1
"accesorio"	1
"accidental"	-1
"accidentalmente"	-1
"accidente"	-1
"acción"	1
"accionador"	1
"acecho"	-1
"acecinado"	1
"aceite"	-1
"aceitunado"	1
"acelerado"	1
"acelerador"	-1
"acelerar"	-1
"aceptabilidad"	1
"aceptable"	1
"aceptación"	1
"aceptado"	-1
"aceptador"	1
"aceptar"	1
"acertado"	1
"acertijo"	1
"acetaminofeno"	-1
"acetificar"	1
"acetoso"	-1
"acherontia"	-1
"achicarse"	-1
"achicharrarse"	-1
"achispado"	-1
"aciago"	-1
"acibarar"	-1
"acicalado"	1
"acicalar"	1
"acidez"	-1
"acidia"	-1
"ácido"	-1
"acidular"	1
"acierto"	1
"ácimo"	1
"acinesia"	-1
"acinesis"	-1
"aclamación"	1
"aclamador"	1
"aclarar"	1
"aclorhidria"	-1
"aclorhídrico"	-1
"acobardado"	-1
"acogedor"	1
"acolchado"	1
"acolchamiento"	1
"acometer"	-1
"acomodación"	1
"acomodado"	1
"acomodar"	1
"acomodaticio"	1
"acompañamiento"	1
"acompañante"	1
"acompañar"	1
"acompasado"	1
"acomplejado"	-1
"acondrita"	-1
"acondroplasia"	-1
"acondroplástico"	-1
"acongojado"	-1
"acongojarse"	-1
"aconsejable"	1
"aconsejado"	1
"acontecer"	-1
"acoplado"	1
"acoquinado"	-1
"acorazado"	1
"acorazonado"	1
"acordado"	1
"acordando"	1
"acordar"	1
"acordarse"	1
"acorde"	1
"acorralado"	-1
"acortarse"	-1
"acosado"	-1
"acosar"	-1
"acoso"	-1
"acostado"	-1
"acostumbrado"	1
"acracia"	-1
"acre"	-1
"acreditado"	1
"acribillado"	-1
"acrídidos"	1
"acrilamida"	-1
"acriminación"	-1
"acriminador"	-1
"acristalado"	1
"acroanestesia"	-1
"acróbata"	-1
"acrobático"	1
"acrofobia"	-1
"acrofóbico"	-1
"acromático"	-1
"acromatínico"	1
"acromegalia"	-1
"actinomicótico"	-1
"activa"	1
"activado"	1
"activador"	1
"actividad"	1
"activista"	1
"activo"	1
"actuado"	1
"actualizado"	1
"acuafobia"	-1
"acuartelar"	1
"acuchillar"	-1
"acuerdo"	1
"acufeno"	-1
"acullá"	1
"acuminado"	1
"acumulación"	-1
"acumular"	1
"acumulativo"	1
"acuoso"	-1
"acusación"	-1
"acusado"	-1
"acusador"	-1
"acusando"	-1
"acusativo"	-1
"acústicamente"	1
"adamantino"	-1
"adaptabilidad"	1
"adaptable"	1
"adaptado"	1
"adaptador"	1
"adaptar"	1
"adecuación"	1
"adecuada"	1
"adecuadamente"	1
"adecuado"	1
"adecuar"	1
"adefesio"	-1
"adelantar"	1
"adelante"	1
"adelanto"	1
"adenomiosis"	-1
"adenopatía"	-1
"adepto"	1
"aderezar"	1
"adherente"	1
"adherirse"	-1
"adhesivo"	1
"adhiriéndose"	1
"adicción"	-1
"adicional"	1
"adiestrado"	1
"adiestrador"	1
"adiestrar"	1
"adinamia"	-1
"adinerado"	1
"adiós"	1
"adiposo"	-1
"aditivo"	1
"adivinación"	1
"adivinanza"	-1
"adivinar"	1
"adjunto"	-1
"administrable"	1
"administración"	1
"administrativo"	1
"admirabilidad"	1
"admirable"	1
"admirablemente"	1
"admiración"	1
"admirador"	1
"admirar"	1
"admisibilidad"	1
"admisible"	1
"admisivo"	1
"admitido"	1
"admitir"	-1
"admonición"	-1
"adoctrinamiento"	-1
"adolescente"	1
"adolescentes"	-1
"adopción"	1
"adoptable"	1
"adoptar"	1
"adorable"	1
"adoración"	1
"adorado"	1
"adorador"	1
"adorar"	1
"adormecimiento"	1
"adormilarse"	-1
"adormitarse"	-1
"adornado"	1
"adornar"	-1
"adornos"	-1
"adoxografía"	1
"adquirible"	1
"adquirido"	-1
"adquirir"	1
"adrenalina"	1
"adrenocorticotrópico"	1
"adsorbato"	1
"adsorbible"	1
"adulterado"	-1
"adulterar"	-1
"adulterino"	-1
"adulterio"	-1
"adulto"	1
"adustez"	-1
"adusto"	-1
"advenimiento"	1
"adversario"	-1
"adversidad"	-1
"adverso"	-1
"advertencia"	-1
"advertir"	-1
"advice"	1
"adyacente"	1
"aéreo"	1
"aerobio"	1
"aeroembolismo"	-1
"aerófilo"	1
"aeropuerto"	1
"aerotransportado"	1
"aestesis"	-1
"aethusa"	-1
"afabilidad"	1
"afable"	1
"afán"	1
"afanar"	-1
"afear"	-1
"afectado"	-1
"afectividad"	1
"afectivo"	1
"afecto"	1
"afectuosamente"	1
"afectuosidad"	1
"afectuoso"	1
"afeminado"	-1
"aferente"	-1
"afianzarse"	1
"afición"	1
"aficionado"	-1
"aficionarse"	1
"afilado"	1
"afiladora"	1
"afilar"	-1
"afiliado"	1
"afín"	1
"afinación"	1
"afinamiento"	1
"afinar"	1
"afinidad"	1
"afirmación"	1
"afirmando"	1
"afirmar"	1
"afirmativamente"	1
"afirmativo"	1
"aflautado"	1
"aflicción"	-1
"afligido"	-1
"afligir"	-1
"afligirse"	-1
"afluencia"	1
"afluente"	1
"afonía"	-1
"aforístico"	1
"aforo"	1
"afortunadamente"	1
"afortunado"	1
"afótico"	-1
"afrenta"	-1
"afrentar"	-1
"africada"	1
"afrontar"	-1
"afrutado"	1
"afta"	-1
"agacharse"	-1
"agarico"	-1
"agárico"	-1
"agarrado"	-1
"agarrando"	-1
"agarrar"	-1
"agasajar"	1
"agazapado"	-1
"agentes"	-1
"agil"	1
"ágil"	1
"agilidad"	1
"agitación"	-1
"agitado"	-1
"agitprop"	-1
"agobiante"	-1
"agobiar"	-1
"agobio"	-1
"agonía"	-1
"agónico"	-1
"agonizante"	-1
"agonizar"	-1
"agorafobia"	-1
"agorafóbico"	-1
"agorero"	-1
"agotable"	1
"agotado"	-1
"agotador"	-1
"agotamiento"	-1
"agraciado"	1
"agradable"	1
"agradado"	1
"agradar"	1
"agradecido"	1
"agrado"	1
"agrandado"	-1
"agrandar"	1
"agranulocítico"	-1
"agravación"	-1
"agravado"	-1
"agravamiento"	-1
"agravante"	-1
"agravar"	-1
"agravarse"	-1
"agravio"	-1
"agrazón"	-1
"agreder"	-1
"agregado"	1
"agresión"	-1
"agresividad"	-1
"agresivo"	-1
"agresor"	-1
"agreste"	-1
"agricultura"	1
"agridulce"	-1
"agrietado"	-1
"agrietamiento"	-1
"agrimensura"	1
"agrio"	-1
"agrisado"	-1
"agrisar"	-1
"aguafiestas"	1
"aguanieve"	-1
"aguante"	1
"agudeza"	1
"agudísimo"	-1
"agudizar"	1
"agüero"	-1
"aguijoneo"	-1
"águila"	1
"agujereado"	-1
"aherrumbrar"	-1
"ahogadero"	-1
"ahogado"	-1
"ahogar"	-1
"ahogarse"	-1
"ahorquillado"	1
"ahorrador"	1
"ahorrativo"	1
"ahorro"	-1
"ahorros"	1
"ahuecamiento"	-1
"ahumado"	1
"ahusado"	1
"ahusar"	1
"ailurofobia"	-1
"airado"	-1
"aireado"	1
"aires"	-1
"airosidad"	1
"aislado"	-1
"aislamiento"	-1
"aislar"	-1
"ajedrea"	1
"ajustable"	1
"ajustado"	1
"ajustar"	1
"ajusticiar"	-1
"al-hakim"	1
"alabado"	1
"alabanza"	1
"alabar"	1
"alabastro"	1
"alacridad"	1
"alado"	1
"alambre"	1
"alar"	-1
"alardear"	-1
"alarido"	1
"alarma"	-1
"alarmado"	-1
"alarmante"	-1
"alarmar"	-1
"alarmismo"	-1
"alazán"	1
"alba"	1
"albacea"	1
"albayalde"	-1
"albinismo"	-1
"alborada"	1
"alborotado"	-1
"alborotador"	-1
"alboroto"	-1
"alborotoso"	-1
"alborozar"	1
"alborozo"	1
"albuminuria"	-1
"alcalde"	1
"alcalescente"	1
"alcalótico"	1
"alcanforado"	1
"alcanforar"	1
"alcantarilla"	-1
"alcantarillado"	-1
"alcanzable"	1
"alcanzado"	1
"alcanzar"	1
"alcista"	1
"alcohol"	-1
"alcohólico"	-1
"alcoholismo"	-1
"alcoholizado"	1
"alcotana"	1
"aldeano"	-1
"aleatoriedad"	-1
"aleatorización"	-1
"aleatorizar"	-1
"alegación"	-1
"alegar"	-1
"alegrar"	1
"alegrarse"	1
"alegre"	1
"alegría"	1
"alegro"	1
"alejado"	-1
"alentador"	1
"alentar"	1
"alero"	-1
"alerón"	-1
"alerta"	-1
"alexia"	-1
"alfabetismo"	1
"alférez"	1
"alfil"	-1
"alfiler"	1
"alfilerazo"	-1
"algarabía"	-1
"algarada"	-1
"algofóbico"	-1
"algolágnico"	-1
"algómetro"	-1
"algoritmo"	1
"alguacil"	-1
"alguien"	1
"alguno"	1
"aliado"	1
"alianza"	1
"alicaído"	-1
"aliciente"	1
"alienación"	-1
"alienado"	-1
"aliento"	1
"alifafe"	-1
"alifático"	1
"aliforme"	1
"aligerar"	1
"aligerarse"	-1
"alimentación"	1
"alimentar"	1
"alimenticio"	1
"alimento"	1
"alineado"	1
"alistado"	1
"alistarse"	-1
"aliviado"	-1
"aliviando"	1
"aliviar"	1
"alivio"	1
"aljófar"	-1
"allá"	1
"allegro"	1
"allunyat"	1
"alma"	1
"almirante"	1
"almohada"	1
"almorranas"	-1
"alocado"	-1
"alojamiento"	1
"alopécico"	-1
"alpende"	-1
"alpenstock"	1
"alquilable"	1
"alquitranado"	-1
"altanero"	-1
"alterado"	-1
"alterar"	-1
"altercado"	-1
"alteridad"	-1
"alternado"	1
"alternante"	1
"alterne"	1
"alterno"	1
"alteza"	1
"altilocuente"	1
"altivez"	1
"altiveza"	1
"altivo"	-1
"alto"	-1
"altruista"	1
"altruísta"	1
"alucinación"	-1
"alucinado"	1
"alucinante"	1
"alucinógeno"	1
"alzado"	1
"alzaválvulas"	-1
"amabilidad"	1
"amable"	1
"amado"	1
"amaestrado"	1
"amaestrar"	1
"amalgamado"	1
"amalgamativo"	1
"amamantar"	1
"amanecer"	1
"amanecida"	1
"amanerado"	1
"amante"	1
"amañar"	-1
"amar"	1
"amargado"	-1
"amargamente"	-1
"amargo"	-1
"amargor"	-1
"amargura"	-1
"amárico"	1
"amarillento"	1
"amarillo"	1
"amarillos"	-1
"amarras"	1
"amateur"	1
"amatista"	1
"amativo"	1
"amaurosis"	-1
"amaurótico"	-1
"ambición"	1
"ambicioso"	1
"ambidiestro"	1
"ambiental"	1
"ambientalista"	-1
"ambiguo"	-1
"ambivalencia"	1
"ambivalente"	1
"ambliopía"	-1
"ambrosiaco"	1
"ambrosíaco"	1
"ambulancia"	-1
"ameliorar"	1
"amén"	1
"amenaza"	-1
"amenazado"	-1
"amenazador"	-1
"amenazadoramente"	-1
"amenazante"	-1
"amenazar"	-1
"amencia"	-1
"amenidad"	1
"ameno"	1
"amenorreico"	-1
"amentífero"	1
"ametista"	1
"amétrope"	-1
"amigabilidad"	-1
"amigable"	1
"amigdalina"	-1
"amigo"	1
"amilanamiento"	-1
"amiloidosis"	-1
"aminoración"	-1
"aminorado"	-1
"amiodarona"	-1
"amistad"	1
"amistoso"	1
"amnesia"	-1
"amnésico"	-1
"amnéstico"	-1
"amniocentesis"	1
"amnistía"	1
"amoblar"	1
"amonestaciones"	1
"amonestar"	-1
"amoníaco"	-1
"amonítico"	-1
"amor"	1
"amorfo"	-1
"amoroso"	1
"amortecerse"	-1
"amortecimiento"	-1
"amortización"	1
"amotinado"	-1
"amotinador"	1
"amotinamiento"	-1
"amotinarse"	-1
"amovible"	1
"ampliamente"	1
"ampliar"	1
"amplio"	1
"ampolla"	-1
"ampollar"	-1
"ampulosidad"	-1
"ampuloso"	-1
"amueblada"	1
"amueblado"	1
"anabaptismo"	1
"anabolismo"	1
"anacantos"	-1
"anaclisis"	1
"anaconda"	-1
"anacoreta"	1
"anacorítico"	1
"anadeo"	-1
"anaeróbico"	1
"anaerobio"	1
"anafrodisia"	-1
"anagógico"	1
"anal"	-1
"analéptico"	1
"analfabetismo"	-1
"analfabeto"	-1
"analgesia"	-1
"analgésico"	-1
"analgético"	1
"analgia"	-1
"analista"	1
"analizable"	1
"analizado"	1
"analizar"	1
"análogo"	1
"anamorfismo"	1
"anaplasia"	-1
"anaplásico"	-1
"anaplástico"	-1
"anaranjado"	1
"anarquía"	-1
"anarquismo"	-1
"anarquista"	-1
"anasarcoso"	1
"anastomus"	-1
"anatema"	-1
"anatematizar"	-1
"anatómicamente"	1
"anatómico"	-1
"anatomista"	1
"ancestral"	1
"anchura"	1
"anciano"	1
"ancianos"	1
"ancla"	1
"andamio"	-1
"andanada"	-1
"andante"	1
"andesita"	-1
"andrajo"	-1
"androfobia"	-1
"anejo"	1
"anemia"	-1
"anestesia"	-1
"anestésico"	-1
"anexo"	1
"anfetaminas"	-1
"anfípodo"	1
"anfipróstilo"	1
"anfiprótico"	1
"anfótero"	1
"ángel"	1
"angelical"	1
"angélicamente"	1
"angélico"	1
"angina"	-1
"anginal"	-1
"anginas"	-1
"anginoso"	-1
"angiopatía"	-1
"angioplastia"	-1
"anglofilia"	1
"anglofobia"	-1
"anglófobo"	-1
"anglohablante"	1
"angloparlante"	1
"anguila"	-1
"angurria"	-1
"angustia"	-1
"angustiado"	-1
"angustiar"	-1
"angustiosamente"	-1
"angustioso"	-1
"anhelo"	-1
"anhidrosis"	-1
"anieblarse"	-1
"animación"	1
"animadamente"	1
"animado"	1
"animadversión"	-1
"animal"	1
"animales"	-1
"animar"	1
"animarse"	1
"ánimo"	1
"animosidad"	-1
"aniñado"	1
"anión"	-1
"aniónico"	-1
"aniquilación"	-1
"aniquilado"	-1
"aniquilador"	-1
"aniquilamiento"	-1
"aniquilar"	-1
"aniversario"	1
"anodino"	-1
"anomalía"	-1
"anómalo"	-1
"anonadar"	-1
"anónimo"	-1
"anopía"	-1
"anorexia"	-1
"anormal"	-1
"anosmático"	-1
"anosmia"	-1
"anósmico"	-1
