Anno	Rex	Duratio	Directio
2018	Felipe VI	568	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=6085
2017	Felipe VI	647	http://www.casareal.es/ES/Actividades/Paginas/actividades_actividades_detalle.aspx?data=13413
2016	Felipe VI	740	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5632
2015	Felipe VI	731	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5555
2014	Felipe VI	760	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5420
2013	Juan Carlos I	697	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5292
2012	Juan Carlos I	536	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5178
2011	Juan Carlos I	784	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2620
2010	Juan Carlos I	573	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2483
2009	Juan Carlos I	761	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2348
2008	Juan Carlos I	826	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2179
2007	Juan Carlos I	854	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2004
2006	Juan Carlos I	760	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2898
2005	Juan Carlos I	742	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2667
2004	Juan Carlos I	723	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5046
2003	Juan Carlos I	783	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5056
2002	Juan Carlos I	662	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5090
2001	Juan Carlos I	506	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5080
2000	Juan Carlos I	424	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5072
1999	Juan Carlos I	707	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5065
1998	Juan Carlos I	737	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5042
1997	Juan Carlos I	680	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5038
1996	Juan Carlos I	745	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5032
1995	Juan Carlos I	849	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5030
1994	Juan Carlos I	766	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5029
1993	Juan Carlos I	705	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5023
1992	Juan Carlos I	764	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5013
1991	Juan Carlos I	636	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=5002
1990	Juan Carlos I	633	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4991
1989	Juan Carlos I	599	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4910
1988	Juan Carlos I	501	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4909
1987	Juan Carlos I	440	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4905
1986	Juan Carlos I	629	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4903
1985	Juan Carlos I	560	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4902
1984	Juan Carlos I	524	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4901
1983	Juan Carlos I	665	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4897
1982	Juan Carlos I	514	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4877
1981	Juan Carlos I	446	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=4873
1980	Juan Carlos I	545	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2824
1979	Juan Carlos I	1166	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2823
1978	Juan Carlos I	493	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2822
1977	Juan Carlos I	563	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2821
1976	Juan Carlos I	451	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2819
1975	Juan Carlos I	301	http://www.casareal.es/ES/Actividades/Paginas/actividades_discursos_detalle.aspx?data=2818
