anno	rey	duracion
1975	Juan Carlos I	301
1976	Juan Carlos I	451
1977	Juan Carlos I	563
1978	Juan Carlos I	493
1979	Juan Carlos I	1166
1980	Juan Carlos I	545
1981	Juan Carlos I	446
1982	Juan Carlos I	514
1983	Juan Carlos I	665
1984	Juan Carlos I	524
1985	Juan Carlos I	560
1986	Juan Carlos I	629
1987	Juan Carlos I	440
1988	Juan Carlos I	501
1989	Juan Carlos I	599
1990	Juan Carlos I	633
1991	Juan Carlos I	636
1992	Juan Carlos I	764
1993	Juan Carlos I	705
1994	Juan Carlos I	766
1995	Juan Carlos I	849
1996	Juan Carlos I	745
1997	Juan Carlos I	680
1998	Juan Carlos I	737
1999	Juan Carlos I	707
2000	Juan Carlos I	424
2001	Juan Carlos I	506
2002	Juan Carlos I	662
2003	Juan Carlos I	783
2004	Juan Carlos I	723
2005	Juan Carlos I	742
2006	Juan Carlos I	760
2007	Juan Carlos I	854
2008	Juan Carlos I	826
2009	Juan Carlos I	761
2010	Juan Carlos I	573
2011	Juan Carlos I	784
2012	Juan Carlos I	536
2013	Juan Carlos I	697
2014	Felipe VI	760
2015	Felipe VI	731
2016	Felipe VI	740
2017	Felipe VI	647
