Buenas	bueno	AQ0FP0
noches	noche	NCFP000
a	a	SPS00
todos	todo	PI0MP000
.	.	Fp
En	en	SPS00
esta	este	DD0FS0
nochebuena	nochebuena	NCFS000
,	,	Fc
en	en	SPS00
que	que	PR0CN000
recordamos	recordar	VMIP1P0
y	y	CC
celebramos	celebrar	VMIP1P0
el	el	DA0MS0
nacimiento	nacimiento	NCMS000
de	de	SPS00
el	el	DA0MS0
Hijo_de_Dios	hijo_de_dios	NP00O00
,	,	Fc
quisiera	querer	VMSI3S0
transmitir	transmitir	VMN0000
os	os	PP2CP000
,	,	Fc
en	en	SPS00
nombre	nombre	NCMS000
de	de	SPS00
la	el	DA0FS0
Reina	reina	NP00SP0
,	,	Fc
de	de	SPS00
mis	mi	DP1CPS
hijos	hijo	NCMP000
y	y	CC
en	en	SPS00
el	el	DA0MS0
mío	mío	PX1MS0S0
propio	propio	AQ0MS0
,	,	Fc
mis	mi	DP1CPS
mejores	mejor	AQ0CP0
votos	voto	NCMP000
de	de	SPS00
felicidad	felicidad	NCFS000
.	.	Fp
La	el	DA0FS0
mayoría	mayoría	NCFS000
de	de	SPS00
nosotros	nosotros	PP1MP000
pasamos	pasar	VMIP1P0
estas	este	DD0FP0
horas	hora	NCFP000
reunidos	reunir	VMP00PM
en	en	SPS00
familia	familia	NCFS000
,	,	Fc
disfrutando	disfrutar	VMG0000
de	de	SPS00
el	el	DA0MS0
calor	calor	NCMS000
y	y	CC
el	el	DA0MS0
afecto	afecto	NCMS000
que	que	PR0CN000
encontramos	encontrar	VMIP1P0
en	en	SPS00
esta	este	DD0FS0
institución	institución	NCFS000
tan	tan	RG
necesaria	necesario	AQ0FS0
para	para	SPS00
el	el	DA0MS0
desarrollo	desarrollo	NCMS000
en	en	SPS00
armonía	armonía	NCFS000
de	de	SPS00
el	el	DA0MS0
ser	ser	VSN0000
humano	humano	AQ0MS0
.	.	Fp
Otros	otro	PI0MP000
os	os	PP2CP000
encontraréis	encontrar	VMIF2P0
alejados	alejar	VMP00PM
de	de	SPS00
vuestro	vuestro	DP2MSP
entorno	entorno	NCMS000
familiar	familiar	AQ0CS0
o	o	CC
quizá	quizá	RG
solos	solo	AQ0MP0
.	.	Fp
Para	para	SPS00
