Me	me	PP1CS000
dirijo	dirigir	VMIP1S0
a	a	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
españoles	español	NCMP000
para	para	SPS00
transmitir	transmitir	VMN0000
os	os	PP2CP000
,	,	Fc
junto_con	junto_con	SPS00
mi	mi	DP1CSS
Familia	familia	NP00SP0
,	,	Fc
nuestros	nuestro	DP1MPP
mejores	mejor	AQ0CP0
deseos	deseo	NCMP000
en	en	SPS00
estas	este	DD0FP0
fiestas	fiesta	NCFP000
navideñas	navideño	AQ0FP0
,	,	Fc
que	que	PR0CN000
tanto	tanto	RG
significado	significar	VMP00SM
tienen	tener	VMIP3P0
para	para	SPS00
nosotros	nosotros	PP1MP000
.	.	Fp
Quiero	querer	VMIP1S0
dedicar	dedicar	VMN0000
mis	mi	DP1CPS
primeras	1	AO0FP0
palabras	palabra	NCFP000
a	a	SPS00
cuantas	cuanto	DI0FP0
familias	familia	NCFP000
viven	vivir	VMIP3P0
momentos	momento	NCMP000
de	de	SPS00
dolor	dolor	NCMS000
o	o	CC
de	de	SPS00
especial	especial	AQ0CS0
dificultad	dificultad	NCFS000
en	en	SPS00
estas	este	DD0FP0
fechas	fecha	NCFP000
tan	tan	RG
entrañables	entrañable	AQ0CP0
para	para	SPS00
todos	todo	PI0MP000
.	.	Fp
Destacan	destacar	VMIP3P0
las	el	DA0FP0
numerosas	numeroso	AQ0FP0
familias	familia	NCFP000
,	,	Fc
en	en	SPS00
particular	particular	AQ0CS0
gallegas	gallego	NCFP000
,	,	Fc
que	que	CS
estas	este	DD0FP0
Navidades	navidades	NP00O00
sufren	sufrir	VMIP3P0
los	el	DA0MP0
daños	daño	NCMP000
causados	causar	VMP00PM
por	por	SPS00
el	el	DA0MS0
accidente	accidente	NCMS000
de	de	SPS00
el	el	DA0MS0
"	"	Fe
Prestige	prestige	NP00V00
"	"	Fe
.	.	Fp
Junto_con	junto_con	SPS00
el	el	DA0MS0
de	de	SPS00
mi	mi	DP1CSS
Familia	familia	NP00G00
,	,	Fc
recibid	recibir	VMM02P0
todo	todo	DI0MS0
mi	mi	DP1CSS
afecto	afecto	NCMS000
.	.	Fp
Que	que	CS
todos	todo	DI0MP0
unidos	unir	VMP00PM
seamos	ser	VSSP1P0
capaces	capaz	AQ0CP0
de	de	SPS00
poner	poner	VMN0000
fin	fin	NCMS000
cuanto_antes	cuanto_antes	RG
a	a	SPS00
esta	este	DD0FS0
calamidad	calamidad	NCFS000
.	.	Fp
Durante	durante	SPS00
este	este	DD0MS0
año	año	NCMS000
,	,	Fc
España	españa	NP00G00
ha	haber	VAIP3S0
seguido	seguir	VMP00SM
inmersa	inmerso	AQ0FS0
en	en	SPS00
importantes	importante	AQ0CP0
cambios	cambio	NCMP000
.	.	Fp
El	el	DA0MS0
mundo	mundo	NCMS000
se	se	P00CN000
mueve	mover	VMIP3S0
cada	cada	DI0CS0
vez	vez	NCFS000
más	más	RG
por	por	SPS00
estímulos	estímulo	NCMP000
globales	global	AQ0CP0
.	.	Fp
Necesitamos	necesitar	VMIP1P0
,	,	Fc
por	por	SPS00
ello	ello	PD0NS000
,	,	Fc
desarrollar	desarrollar	VMN0000
nuestra	nuestro	DP1FSP
capacidad	capacidad	NCFS000
de	de	SPS00
adaptación	adaptación	NCFS000
y	y	CC
de	de	SPS00
reacción	reacción	NCFS000
para	para	SPS00
afrontar	afrontar	VMN0000
con	con	SPS00
éxito	éxito	NCMS000
esas	ese	DD0FP0
transformaciones	transformación	NCFP000
.	.	Fp
Un	uno	DI0MS0
país	país	NCMS000
como	como	CS
el	el	DA0MS0
nuestro	nuestro	PX1MS0P0
,	,	Fc
que	que	PR0CN000
ha	haber	VAIP3S0
sabido	saber	VMP00SM
superar	superar	VMN0000
situaciones	situación	NCFP000
difíciles	difícil	AQ0CP0
y	y	CC
realizar	realizar	VMN0000
transformaciones	transformación	NCFP000
históricas	histórico	AQ0FP0
,	,	Fc
