Año	Index	Rating	Grade
1975	51.8	D	10
1976	57.06	VD	> 11
1977	49.89	D	9
1978	60.51	VD	> 11
1979	55.58	VD	11
1980	62.82	VD	> 11
1981	62.94	VD	> 11
1982	56.68	VD	11
1983	54.01	VD	11
1984	54.34	VD	11
1985	58.49	VD	> 11
1986	64.9	VD	> 11
1987	59.47	VD	> 11
1988	63.27	VD	> 11
1989	63.17	VD	> 11
1990	60.81	VD	> 11
1991	62.27	VD	> 11
1992	58.73	VD	> 11
1993	56.78	VD	11
1994	61.35	VD	> 11
1995	61.22	VD	> 11
1996	63.4	VD	> 11
1997	61.5	VD	> 11
1998	64.84	VD	> 11
1999	60.1	VD	> 11
2000	57.35	VD	> 11
2001	62.56	VD	> 11
2002	59.4	VD	> 11
2003	60.2	VD	> 11
2004	60.67	VD	> 11
2005	57.14	VD	> 11
2006	62.88	VD	> 11
2007	58.89	VD	> 11
2008	63.55	VD	> 11
2009	54.04	VD	11
2010	55.26	VD	11
2011	59.13	VD	> 11
2012	55.34	VD	11
2013	57.87	VD	> 11
2014	51.09	D	10
2015	57.68	VD	> 11
2016	55.72	VD	11
2017	56.28	VD	11
