anno	rey	duracion
1975	Juan Carlos I	5:01
1976	Juan Carlos I	7:31
1977	Juan Carlos I	9:23
1978	Juan Carlos I	8:13
1979	Juan Carlos I	19:26
1980	Juan Carlos I	9:05
1981	Juan Carlos I	7:26
1982	Juan Carlos I	8:34
1983	Juan Carlos I	11:05
1984	Juan Carlos I	8:44
1985	Juan Carlos I	9:20
1986	Juan Carlos I	10:29
1987	Juan Carlos I	7:20
1988	Juan Carlos I	8:21
1989	Juan Carlos I	9:59
1990	Juan Carlos I	10:33
1991	Juan Carlos I	10:36
1992	Juan Carlos I	12:44
1993	Juan Carlos I	11:45
1994	Juan Carlos I	12:46
1995	Juan Carlos I	14:09
1996	Juan Carlos I	12:25
1997	Juan Carlos I	11:20
1998	Juan Carlos I	12:17
1999	Juan Carlos I	11:47
2000	Juan Carlos I	7:04
2001	Juan Carlos I	8:26
2002	Juan Carlos I	11:02
2003	Juan Carlos I	13:03
2004	Juan Carlos I	12:03
2005	Juan Carlos I	12:22
2006	Juan Carlos I	12:40
2007	Juan Carlos I	14:14
2008	Juan Carlos I	13:46
2009	Juan Carlos I	12:41
2010	Juan Carlos I	9:33
2011	Juan Carlos I	13:04
2012	Juan Carlos I	8:56
2013	Juan Carlos I	11:37
2014	Felipe VI	12:40
2015	Felipe VI	12:11
2016	Felipe VI	12:20
2017	Felipe VI	10:47
